Feature,II_Score,MI_Score,II_Rank,MI_Rank,Avg_Rank
sma_ratio_10,0.54706392,0.0015060619650793942,6.0,5.0,5.5
ema_ratio_26,0.47050416,0.001021844531895477,3.0,10.0,6.5
roc_5,0.66956072,0.0015425261319353548,11.0,3.0,7.0
sma_ratio_50,0.67178792,0.0015506779384087115,13.0,2.0,7.5
return_5d,0.68084648,0.0016908381448953135,15.0,1.0,8.0
bb_position,0.56321736,0.0010146346125741023,8.0,11.0,9.5
rsi_14,0.67781248,0.0012316912261227512,14.0,7.0,10.5
ema_ratio_12,0.4495772,0.00063047197341873,2.0,20.0,11.0
return_10d,0.53771912,0.0006144185502197097,4.0,21.0,12.5
momentum_20d,0.65912704,0.0007382949631723683,9.0,17.0,13.0
momentum_10d,0.55868976,0.0006691864717084815,7.0,19.0,13.0
sma_ratio_20,0.42354208,0.00047155428694435744,1.0,26.0,13.5
sma_ratio_200,0.8646168,0.0015293200809872976,23.0,4.0,13.5
roc_10,0.53915776,0.0005708580462657996,5.0,23.0,14.0
volatility_60d,0.86271968,0.0014023810977501204,22.0,6.0,14.0
daily_range,0.84729512,0.001179022332678875,19.0,9.0,14.0
volume_sma_ratio_10,0.88904392,0.0011982750018773255,25.0,8.0,16.5
avg_range_10d,0.85055184,0.0008899636758661773,20.0,13.0,16.5
volatility_20d,0.83529984,0.0007557661101013952,18.0,16.0,17.0
volatility_10d,0.8335204,0.0006810263137458762,17.0,18.0,17.5
high_low_ratio,0.86172064,0.0008159125592126788,21.0,15.0,18.0
macd_hist,0.6697584,0.0005033418827170266,12.0,24.0,18.0
return_20d,0.66440864,0.00046039914621512996,10.0,27.0,18.5
return_1d,0.87365416,0.0008626101834461619,24.0,14.0,19.0
volume_sma_ratio_20,0.892628,0.0009614969500829192,26.0,12.0,19.0
sma_ratio_5,0.73755056,0.0004909739482863359,16.0,25.0,20.5
atr_14,0.9322564,0.0005967743469368849,27.0,22.0,24.5
