Feature,II_Score,II_Rank
roc_10,0.009201333333333334,1
high_low_ratio,0.023124,2
volume_sma_ratio_20,0.002220666666666667,3
macd_hist,0.045568,4
avg_range_10d,0.022021555555555555,5
volatility_60d,0.0014326666666666667,6
rsi_14,0.000476,7
bb_position,0.0006226666666666667,8
sma_ratio_20,0.004746666666666666,9
volatility_20d,0.001181111111111111,10
sma_ratio_200,0.0022186666666666665,11
atr_14,0.004121333333333334,12
return_1d,0.03358711111111111,13
return_5d,0.017732666666666667,14
sma_ratio_10,0.008558,15
return_20d,0.004490888888888889,16
sma_ratio_5,0.0153,17
return_10d,0.010088666666666666,18
sma_ratio_50,0.004889777777777778,19
roc_5,0.015224888888888888,20
momentum_10d,0.007219333333333334,21
momentum_20d,0.004419333333333333,22
volatility_10d,0.0019924444444444443,23
ema_ratio_26,0.0034137777777777777,24
daily_range,0.025974,25
volume_sma_ratio_10,0.0009986666666666666,26
ema_ratio_12,0.007849555555555556,27
