Feature,II_Score,II_Rank,DII_Score,DII_Rank,Avg_Rank
return_20d,0.66440864,3,0.6692790531791188,3,3.0
momentum_20d,0.65912704,1,0.6586209572707952,9,5.0
volatility_20d,0.83529984,5,0.8354337882327662,5,5.0
sma_ratio_10,0.54706392,6,0.5480168554009377,6,6.0
return_1d,0.87365416,7,0.8597095121545411,7,7.0
volatility_10d,0.8335204,2,0.8381868484925163,12,7.0
rsi_14,0.67781248,8,0.677532636585726,8,8.0
macd_hist,0.6697584,12,0.678272912307251,4,8.0
return_5d,0.68084648,10,0.6645511294993972,10,10.0
return_10d,0.53771912,11,0.5374543082113409,11,11.0
avg_range_10d,0.85055184,22,0.8484673495814398,1,11.5
bb_position,0.56321736,13,0.5651066141116741,13,13.0
ema_ratio_26,0.47050416,25,0.47136619674307345,2,13.5
ema_ratio_12,0.4495772,4,0.4537766911902611,24,14.0
sma_ratio_50,0.67178792,14,0.6738941123516502,14,14.0
volatility_60d,0.86271968,15,0.8598966307198882,16,15.5
volume_sma_ratio_10,0.88904392,16,0.8926487234149311,15,15.5
momentum_10d,0.55868976,9,0.5513769957212299,22,15.5
high_low_ratio,0.86172064,17,0.8655267694485285,17,17.0
roc_5,0.66956072,18,0.6583951562515711,18,18.0
roc_10,0.53915776,19,0.5390970528220079,19,19.0
volume_sma_ratio_20,0.892628,20,0.8946541113499243,21,20.5
daily_range,0.84729512,21,0.8491189226360951,20,20.5
sma_ratio_20,0.42354208,23,0.4234589626133963,23,23.0
sma_ratio_200,0.8646168,24,0.8658005019107855,25,24.5
sma_ratio_5,0.73755056,26,0.7445992414655562,26,26.0
atr_14,0.9322564,27,0.929627451909125,27,27.0
