Feature,II_Rank,MI_Rank,DII_Rank,II_MI_Consensus,II_DII_Consensus,All_Three_Consensus,Rank_Variance
ema_ratio_26,3.0,10.0,2,6.5,2.5,5.0,19.0
sma_ratio_10,6.0,5.0,6,5.5,6.0,5.666666666666667,0.33333333333333337
return_5d,15.0,1.0,10,8.0,12.5,8.666666666666666,50.333333333333336
sma_ratio_50,13.0,2.0,14,7.5,13.5,9.666666666666666,44.333333333333336
rsi_14,14.0,7.0,8,10.5,11.0,9.666666666666666,14.333333333333332
bb_position,8.0,11.0,13,9.5,10.5,10.666666666666666,6.333333333333334
roc_5,11.0,3.0,18,7.0,14.5,10.666666666666666,56.333333333333336
avg_range_10d,20.0,13.0,1,16.5,10.5,11.333333333333334,92.33333333333333
momentum_20d,9.0,17.0,9,13.0,9.0,11.666666666666666,21.333333333333332
return_10d,4.0,21.0,11,12.5,7.5,12.0,73.0
volatility_20d,18.0,16.0,5,17.0,11.5,13.0,49.0
return_20d,10.0,27.0,3,18.5,6.5,13.333333333333334,152.33333333333334
macd_hist,12.0,24.0,4,18.0,8.0,13.333333333333334,101.33333333333334
volatility_60d,22.0,6.0,16,14.0,19.0,14.666666666666666,65.33333333333333
return_1d,24.0,14.0,7,19.0,15.5,15.0,73.0
ema_ratio_12,2.0,20.0,24,11.0,13.0,15.333333333333334,137.33333333333334
volatility_10d,17.0,18.0,12,17.5,14.5,15.666666666666666,10.333333333333332
roc_10,5.0,23.0,19,14.0,12.0,15.666666666666666,89.33333333333333
volume_sma_ratio_10,25.0,8.0,15,16.5,20.0,16.0,73.0
daily_range,19.0,9.0,20,14.0,19.5,16.0,37.0
momentum_10d,7.0,19.0,22,13.0,14.5,16.0,63.0
sma_ratio_20,1.0,26.0,23,13.5,12.0,16.666666666666668,186.33333333333331
sma_ratio_200,23.0,4.0,25,13.5,24.0,17.333333333333332,134.33333333333331
high_low_ratio,21.0,15.0,17,18.0,19.0,17.666666666666668,9.333333333333334
volume_sma_ratio_20,26.0,12.0,21,19.0,23.5,19.666666666666668,50.33333333333333
sma_ratio_5,16.0,25.0,26,20.5,21.0,22.333333333333332,30.333333333333336
atr_14,27.0,22.0,27,24.5,27.0,25.333333333333332,8.333333333333334
