Feature,II_Rank,MI_Rank,DII_Rank,All_Three_Consensus
ema_ratio_26,3.0,10.0,2,5.0
sma_ratio_10,6.0,5.0,6,5.666666666666667
return_5d,15.0,1.0,10,8.666666666666666
sma_ratio_50,13.0,2.0,14,9.666666666666666
rsi_14,14.0,7.0,8,9.666666666666666
bb_position,8.0,11.0,13,10.666666666666666
roc_5,11.0,3.0,18,10.666666666666666
avg_range_10d,20.0,13.0,1,11.333333333333334
momentum_20d,9.0,17.0,9,11.666666666666666
return_10d,4.0,21.0,11,12.0
volatility_20d,18.0,16.0,5,13.0
return_20d,10.0,27.0,3,13.333333333333334
