Feature,II_Score,II_Rank
sma_ratio_10,0.54706392,6.0
ema_ratio_26,0.47050416,3.0
roc_5,0.66956072,11.0
sma_ratio_50,0.67178792,13.0
return_5d,0.68084648,15.0
bb_position,0.56321736,8.0
rsi_14,0.67781248,14.0
ema_ratio_12,0.4495772,2.0
return_10d,0.53771912,4.0
momentum_20d,0.65912704,9.0
momentum_10d,0.55868976,7.0
sma_ratio_20,0.42354208,1.0
sma_ratio_200,0.8646168,23.0
roc_10,0.53915776,5.0
volatility_60d,0.86271968,22.0
daily_range,0.84729512,19.0
volume_sma_ratio_10,0.88904392,25.0
avg_range_10d,0.85055184,20.0
volatility_20d,0.83529984,18.0
volatility_10d,0.8335204,17.0
high_low_ratio,0.86172064,21.0
macd_hist,0.6697584,12.0
return_20d,0.66440864,10.0
return_1d,0.87365416,24.0
volume_sma_ratio_20,0.892628,26.0
sma_ratio_5,0.73755056,16.0
atr_14,0.9322564,27.0
