Feature,MI_Score,MI_Rank
sma_ratio_10,0.0015060619650793942,5.0
ema_ratio_26,0.001021844531895477,10.0
roc_5,0.0015425261319353548,3.0
sma_ratio_50,0.0015506779384087115,2.0
return_5d,0.0016908381448953135,1.0
bb_position,0.0010146346125741023,11.0
rsi_14,0.0012316912261227512,7.0
ema_ratio_12,0.00063047197341873,20.0
return_10d,0.0006144185502197097,21.0
momentum_20d,0.0007382949631723683,17.0
momentum_10d,0.0006691864717084815,19.0
sma_ratio_20,0.00047155428694435744,26.0
sma_ratio_200,0.0015293200809872976,4.0
roc_10,0.0005708580462657996,23.0
volatility_60d,0.0014023810977501204,6.0
daily_range,0.001179022332678875,9.0
volume_sma_ratio_10,0.0011982750018773255,8.0
avg_range_10d,0.0008899636758661773,13.0
volatility_20d,0.0007557661101013952,16.0
volatility_10d,0.0006810263137458762,18.0
high_low_ratio,0.0008159125592126788,15.0
macd_hist,0.0005033418827170266,24.0
return_20d,0.00046039914621512996,27.0
return_1d,0.0008626101834461619,14.0
volume_sma_ratio_20,0.0009614969500829192,12.0
sma_ratio_5,0.0004909739482863359,25.0
atr_14,0.0005967743469368849,22.0
