Feature,II_Rank,MI_Rank,DII_Rank,II_MI_Consensus,II_DII_Consensus,All_Three_Consensus,Rank_Variance
sma_ratio_10,6.0,5.0,6,5.5,6.0,5.666666666666667,0.33333333333333337
bb_position,8.0,11.0,13,9.5,10.5,10.666666666666666,6.333333333333334
atr_14,27.0,22.0,27,24.5,27.0,25.333333333333332,8.333333333333334
high_low_ratio,21.0,15.0,17,18.0,19.0,17.666666666666668,9.333333333333334
volatility_10d,17.0,18.0,12,17.5,14.5,15.666666666666666,10.333333333333332
rsi_14,14.0,7.0,8,10.5,11.0,9.666666666666666,14.333333333333332
ema_ratio_26,3.0,10.0,2,6.5,2.5,5.0,19.0
momentum_20d,9.0,17.0,9,13.0,9.0,11.666666666666666,21.333333333333332
sma_ratio_5,16.0,25.0,26,20.5,21.0,22.333333333333332,30.333333333333336
daily_range,19.0,9.0,20,14.0,19.5,16.0,37.0
