Feature,Group,Informative,GT_Rank,MI_Score,MI_Rank,II_Score,II_Rank,DII_Score,DII_Rank
X1_linear_strong,Linear,1,1,0.44490656848826365,1,0.357301,1,0.3576196988482423,1
X2_linear_medium,Linear,1,2,0.19567573886924014,4,0.785218,4,0.7823597827345917,4
X3_linear_weak,Linear,1,3,0.04460708966963251,8,0.92949,10,0.9278566790333478,10
X4_quadratic,Nonlin_Sym,1,7,0.0015836338040229746,12,0.8065935,5,0.8066183873322056,5
X5_sinusoidal,Nonlin_Sym,1,6,0.06637166683831675,7,0.9204745,9,0.9216611530082405,9
X6_absolute,Nonlin_Sym,1,8,0.004135021693541612,9,0.83953,6,0.8390662043458453,6
X7_cubic,Nonlin_Dir,1,4,0.2676019853878521,2,0.411301,2,0.41426640379748497,2
X8_sigmoid,Nonlin_Dir,1,5,0.12032960106496812,5,0.903992,7,0.904624651975514,8
X9_lagged,Nonlin_Dir,1,9,0.0013932690166742064,14,1.018434,15,1.0198791666102853,15
X10_AR_strong,AR,1,10,0.09381863921211465,6,0.9045555,8,0.9023219667618184,7
X11_AR_medium,AR,1,11,0.21068031279688723,3,0.71474,3,0.7160512407298719,3
X12_AR_spurious,AR,0,12,0.0036595275567379254,11,0.993372,13,0.9945659342778179,13
X13_noise,Noise,0,13,0.0037998992988630183,10,0.9839815,11,0.9827508873127012,11
X14_noise,Noise,0,14,0.0014727748992851392,13,0.990624,12,0.9919817377260014,12
X15_noise,Noise,0,15,0.0013448422280098044,15,1.0144915,14,1.017901703876264,14
