Feature,Group,Informative,GT_Rank,MI_Score,MI_Rank,II_Score,II_Rank,DII_L1_Weight,DII_L1_Rank,DII_noL1_Weight,DII_noL1_Rank
xA1_lin_str,Linear,1,3,0.6853456287978004,2,0.6116655,1,0.17342032,3,0.17385931,3
xA2_lin_med,Linear,1,6,0.34350184158755503,7,0.811897,5,0.16075762,5,0.16001964,5
xA3_lin_z2,Linear,1,8,0.10268360387812248,10,0.950832,9,0.06991329,7,0.070062265,7
xB1_quad,Nonlin_Sym,1,4,0.3688658676075116,5,0.861713,7,0.2510651,1,0.2511664,1
xB2_abs,Nonlin_Sym,1,5,0.36048169610336256,6,0.887258,8,0.06742699,8,0.068061344,8
xC1_relu,Nonlin_Dir,1,1,0.6108901910679565,3,0.707563,3,0.16582122,4,0.16638823,4
xC2_sigmoid,Nonlin_Dir,1,2,0.4558902461403447,4,0.758016,4,0.072178535,6,0.072048455,6
xC3_cubic,Nonlin_Dir,1,7,0.7163761446104271,1,0.6189045,2,0.19199747,2,0.19129401,2
xD1_z1z2,Interaction,1,9,0.11585441889595138,9,0.954157,10,4.5230364e-18,15,8.649547e-09,16
xD2_z1z3,Interaction,1,10,0.048884260445303696,11,0.9551105,11,0.015127622,12,0.016257826,12
xD3_z2z3,Interaction,1,11,0.001984951222981479,14,0.9872895,14,0.025932577,9,0.02608205,9
xD4_z1sq_z2,Interaction,1,12,0.26146214393736145,8,0.855865,6,0.018434035,11,0.018199595,11
xD5_z1z2z3,Interaction,1,13,0.02486659647249123,12,0.9844895,13,1.3105118e-19,17,3.9736987e-09,18
xE1_noise,Noise,0,14,0.0,18,1.0009865,18,6.7128873e-20,19,1.9026882e-09,19
xE2_noise,Noise,0,15,0.0015597161953042615,15,0.991155,16,0.022283185,10,0.022004787,10
xF1_AR_spur,AR_Spurious,0,16,0.017048671018893735,13,1.020785,20,1.3363858e-19,16,1.2141269e-08,15
xF2_AR_spur,AR_Spurious,0,17,0.0,18,0.990905,15,0.013604496,13,0.013913422,13
xG1_noise,Noise,0,18,0.00035309453017706716,16,1.0143335,19,6.3158264e-20,20,7.0920936e-09,17
xG2_noise,Noise,0,19,0.0,18,0.9977945,17,0.011055311,14,0.010862904,14
xG3_noise,Noise,0,20,0.0,18,0.97434,12,8.179462e-20,18,1.0939208e-09,20
