Feature,Informative,GT_Rank,MI_Score,MI_Rank,II_Score,II_Rank,DII_L1_W,DII_L1_Rank,DII_noL1_W,DII_noL1_Rank
x_lin_1,1,3,0.8542028602910348,1,0.5501805,1,0.08674231,7,0.09089398,6
x_lin_2,1,5,0.07025938573009238,9,0.9726195,12,0.04277326,10,0.043248177,10
x_sym_1,1,4,0.3921748356868875,6,0.8679245,7,0.09349509,5,0.09526557,5
x_sym_2,1,6,0.0065036784989240815,17,0.995262,17,0.014391689,13,0.01577039,13
x_dir_1,1,1,0.648408610869903,4,0.6546955,4,0.17117564,3,0.16932636,3
x_dir_2,1,2,0.0450583387701089,10,0.984209,15,0.025112659,12,0.027692068,12
x_wave_1,1,8,0.03785356179962296,12,0.961408,10,0.08870592,6,0.08685875,7
x_wave_2,0,13,0.02910513048376906,13,0.996827,18,8.993688e-20,18,3.730827e-09,18
x_mix_1,1,7,0.15683594753813246,8,0.8869555,8,0.04293291,9,0.04794566,9
x_mix_2,0,14,0.6741670445746584,3,0.6187405,3,0.05228162,8,0.051508207,8
x_red_1,1,10,0.8325894112711092,2,0.5681315,2,0.2956394,1,0.29531494,1
x_red_2,1,11,0.3719313651917293,7,0.839718,6,0.18939213,2,0.18700956,2
x_red_3,1,12,0.5353561832713645,5,0.661953,5,0.12123246,4,0.12387572,4
momentum,0,15,0.03874885450719301,11,0.9653295,11,0.01382765,14,0.013050959,14
realized_vol_proxy,0,16,0.0,19,0.9728195,13,1.1326425e-15,15,6.241702e-06,16
regime,1,9,0.014767502921399167,16,0.959191,9,0.034060933,11,0.030167509,11
noise_1,0,17,0.0,19,1.0312785,20,9.976555e-20,16,1.5363573e-09,20
noise_2,0,18,0.026598905844124054,14,0.9897065,16,5.695088e-20,19,1.1443388e-05,15
noise_3,0,19,0.016178437763260334,15,1.0050735,19,3.8904453e-20,20,4.222799e-09,17
noise_4,0,20,0.0,19,0.981706,14,9.302233e-20,17,3.3725942e-09,19
