Feature,Group,Informative,GT_Rank,MI_Score,MI_Rank,II_Score,II_Rank,DII_L1_W,DII_L1_Rank,DII_noL1_W,DII_noL1_Rank
x_lin_1,Linear,1,4,0.41669821773938054,1,0.759899,2,2.798264e-19,14,6.5718e-07,16
x_lin_2,Linear,1,6,0.03228845533681213,16,0.9901285,20,8.693678e-21,25,0.022917008,11
x_sym_1,Nonlin_Sym,1,5,0.18335723625271694,7,0.9057545,7,0.11159812,5,0.1084601,5
x_sym_2,Nonlin_Sym,1,7,0.008906966900386948,21,0.989376,19,3.684767e-20,20,4.5385733e-11,27
x_dir_1,Directional,1,2,0.35369046730111364,4,0.79733,4,0.309138,1,0.306559,1
x_dir_2,Directional,1,3,0.03688137489542065,15,0.965852,16,5.0966116e-20,17,1.04166835e-08,23
x_wave_1,Cyclical,1,9,0.004670312978068303,22,0.9931985,21,0.05347497,9,0.05417741,9
x_wave_2,Cyclical,0,20,0.009555822130771219,20,1.0209545,25,1.33407374e-20,23,4.044811e-09,26
x_mix_1,Interaction,1,8,0.11733908224431655,13,0.9596805,14,0.09977025,6,0.09821412,6
x_mix_2,Interaction,0,21,0.3793998905455451,3,0.770081,3,2.4611573e-19,16,3.6682914e-07,18
x_red_1,Redundant,1,13,0.4152619468800234,2,0.7493445,1,2.7071416e-19,15,3.8178428e-07,17
x_red_2,Redundant,1,14,0.1984038286755414,6,0.924945,13,0.0067750057,10,0.035107877,10
x_red_3,Redundant,1,15,0.3075358983937777,5,0.827476,5,1.5506915e-16,12,0.003905635,13
momentum,Derived,0,22,0.05567966625174936,14,0.9597395,15,4.087827e-20,19,0.0016813535,14
rvp,Derived,0,23,0.0,25,0.988232,18,4.1453216e-20,18,2.2172895e-08,19
regime,Derived,1,10,0.010582336556596683,19,0.8949425,6,1.7442392e-20,22,1.893411e-08,20
x_syn_1,Synergistic,1,11,0.0,25,1.004431,24,0.26355502,2,0.2633912,2
x_syn_2,Synergistic,1,12,0.022093148787748262,17,1.0002465,23,0.2288505,3,0.23000583,3
x_base,NearDuplicate,1,1,0.12988621578324366,12,0.918032,11,7.4960986e-14,11,0.019126082,12
x_dup_1,NearDuplicate,1,16,0.14305554241038898,10,0.9235995,12,0.067457624,8,0.0791036,8
x_dup_2,NearDuplicate,1,17,0.13281320461046775,11,0.9131615,8,0.12614246,4,0.11771665,4
x_dup_3,NearDuplicate,1,18,0.1438240226122165,9,0.913434,9,6.447605e-19,13,1.0768851e-05,15
x_dup_4,NearDuplicate,1,19,0.14717413700527615,8,0.9152785,10,0.082605675,7,0.084516115,7
noise_1,Noise,0,24,0.004632320610748586,23,0.985307,17,1.7991377e-20,21,1.837494e-08,21
noise_2,Noise,0,25,0.0,25,0.9954005,22,6.982846e-21,26,1.394939e-08,22
noise_3,Noise,0,26,0.0,25,1.0274705,27,1.2682422e-20,24,4.362544e-09,25
noise_4,Noise,0,27,0.019338327634748076,18,1.022125,26,3.924559e-21,27,8.572754e-09,24
