Feature,Group,Informative,GT_Rank,MI_Score,MI_Rank,II_pf_Score,II_pf_Rank,JMI_CMI,JMI_Rank,MI_jt_Imp,MI_jt_Rank,II_jt_Imp,II_jt_Rank,DII_L1_W,DII_L1_Rank,DII_noL1_W,DII_noL1_Rank
x_lin_1,Linear,1,4,0.37681975929238387,3,0.7669865,2,0.39921768578584427,1,-4.40510720345344e-05,6,0.0005505000000000093,7,2.5493769e-19,14,7.837648e-08,17
x_lin_2,Linear,1,6,0.08134573822509772,14,0.9628319999999999,18,0.0,25,-0.003933469189925987,15,0.0011189999999999811,5,4.2497406e-20,19,2.2038317e-07,15
x_sym_1,NonlinSym,1,5,0.18957936512910845,6,0.907299,6,0.0,22,-0.0002428772391898093,10,-0.0020499999999999963,12,0.10300895,6,0.10304554,6
x_sym_2,NonlinSym,1,7,0.04968288689088585,18,0.96017,16,0.0,17,-0.007324505222149114,17,0.002074499999999979,4,0.084704846,8,0.08479668,8
x_dir_1,Directional,1,2,0.34561446546238495,5,0.8074614999999999,5,0.0,23,0.006742433100639822,1,0.01351099999999994,3,0.241636,3,0.23816888,3
x_dir_2,Directional,1,3,0.06178036969295064,17,0.951873,15,0.0,9,-0.0027520233373978797,14,-0.003690500000000041,15,1.4052081e-20,21,6.1475802e-09,26
x_wave_1,Cyclical,1,9,0.01688294680153124,20,0.999118,22,0.0,15,-0.023886216542883254,24,-0.0006960000000000299,8,0.060877603,10,0.06114877,10
x_wave_2,Cyclical,0,20,0.029357826297654377,19,1.0144655,26,0.0,4,-0.028524276918820313,26,-0.009591499999999975,23,1.2710445e-20,22,1.616811e-08,23
x_mix_1,Interaction,1,8,0.15002175617968305,8,0.9278215,11,0.0,27,-0.001942551104632706,13,-0.006437000000000026,20,2.6277276e-20,20,1.6804725e-06,14
x_mix_2,Interaction,0,21,0.374134906465855,4,0.7748174999999999,3,0.0,14,-0.0001772905027390692,9,0.0007015000000000216,6,1.2998809e-19,17,3.9623615e-08,18
x_red_1,Redundant,1,13,0.38179175996771697,2,0.7639254999999999,1,0.0,13,-4.0431880499625095e-05,5,-0.00174300000000005,11,2.32946e-19,16,2.1640181e-08,21
x_red_2,Redundant,1,14,0.18047240821659694,7,0.9242094999999999,10,0.0,19,1.6335271316059163e-05,3,-0.0014220000000000343,9,7.7025153e-16,12,0.010892056,12
x_red_3,Redundant,1,15,0.38252550865958,1,0.7847725,4,0.02025174183929801,3,0.003375755361552102,2,-0.0027519999999999767,13,0.14427076,4,0.1470767,4
momentum,Derived,0,22,0.06668660786392078,16,0.9626389999999999,17,0.0,26,-0.0068674330661364635,16,-0.004219500000000043,16,0.020797772,11,0.019786237,11
rvp,Derived,0,23,0.07660356696043369,15,0.988205,20,0.0,20,-0.012065771966332406,18,-0.00931650000000006,22,4.3789772e-20,18,2.1215112e-07,16
regime,Derived,1,10,0.0,26,0.9426325,14,0.0,10,-0.04559447956719076,27,-0.02272249999999998,27,7.789706e-22,27,1.3500693e-08,25
x_syn_1,Synergistic,1,11,0.0,26,1.0088125,24,0.0,16,-0.01635189895502087,20,0.0430585,1,0.2798954,1,0.27727246,1
x_syn_2,Synergistic,1,12,0.009014451851895089,21,0.9991715,23,0.0,8,-0.014387821125002809,19,0.04156499999999996,2,0.24757752,2,0.25057158,2
x_base,NearDup,1,1,0.0944932712667157,13,0.9324914999999999,12,0.0,12,-7.201175263382709e-05,7,-0.004302499999999987,17,0.10009574,7,0.09666066,7
x_dup_1,NearDup,1,16,0.11427224216540832,10,0.9343855,13,0.0,5,-0.0007923980073760717,12,-0.00450600000000001,18,0.124032915,5,0.12273682,5
x_dup_2,NearDup,1,17,0.10449484549037535,11,0.914049,8,0.16933300961330788,2,-0.0001039561260842703,8,-0.004797000000000051,19,0.061921094,9,0.07352221,9
x_dup_3,NearDup,1,18,0.10017994122455409,12,0.9097909999999999,7,0.0,7,-4.0699666179477845e-06,4,-0.0016614999999999824,10,2.4699662e-19,15,2.1831337e-08,20
x_dup_4,NearDup,1,19,0.12176121513937233,9,0.9146354999999999,9,0.0,6,-0.0003493116787884887,11,-0.00365800000000005,14,2.7914582e-16,13,0.010324117,13
noise_1,Noise,0,24,0.006395314121919959,22,0.9869485,19,0.0,18,-0.02138777062391828,23,-0.010662999999999978,25,1.1074588e-20,23,1.6063638e-09,27
noise_2,Noise,0,25,0.0029947903857863167,23,0.9889494999999999,21,0.0,24,-0.024779752262000798,25,-0.010140999999999956,24,9.988295e-21,25,1.4162361e-08,24
noise_3,Noise,0,26,0.0,26,1.0125765,25,0.0,21,-0.020806409161151507,22,-0.008556499999999967,21,4.419846e-21,26,3.4442557e-08,19
noise_4,Noise,0,27,0.0020735340336290875,24,1.029227,27,0.0,11,-0.020392349181009628,21,-0.01080749999999997,26,1.0630597e-20,24,2.102861e-08,22
