method,K,method_acc,baseline_mean,baseline_std,p_value,rank,bh_threshold,bh_significant
MI_perfeat,10,0.6146095717884131,0.5359697732997479,0.0283055066731597,0.0,1,0.003125,True
DII_L1,5,0.6209068010075567,0.5212468513853904,0.0272125738753031,0.0,2,0.00625,True
DII_L1,16,0.6171284634760705,0.5397858942065491,0.0278135690518762,0.0,3,0.009375000000000001,True
DII_L1,10,0.5994962216624685,0.5359697732997479,0.0283055066731597,0.01,4,0.0125,True
DII_L1,3,0.5831234256926952,0.5163853904282116,0.0306268097970058,0.02,5,0.015625,False
MI_perfeat,16,0.5944584382871536,0.5397858942065491,0.0278135690518762,0.04,6,0.018750000000000003,False
MI_perfeat,3,0.5692695214105794,0.5163853904282116,0.0306268097970058,0.06,7,0.021875000000000002,False
II_perfeat,5,0.5667506297229219,0.5212468513853904,0.0272125738753031,0.1,8,0.025,False
MI_perfeat,5,0.5617128463476071,0.5212468513853904,0.0272125738753031,0.12,9,0.028125,False
II_perfeat,10,0.5604534005037783,0.5359697732997479,0.0283055066731597,0.21,10,0.03125,False
II_joint,3,0.5264483627204031,0.5163853904282116,0.0306268097970058,0.36,11,0.034375,False
II_joint,16,0.5327455919395465,0.5397858942065491,0.0278135690518762,0.59,12,0.037500000000000006,False
II_perfeat,16,0.5302267002518891,0.5397858942065491,0.0278135690518762,0.6,13,0.040625,False
II_perfeat,3,0.4974811083123425,0.5163853904282116,0.0306268097970058,0.71,14,0.043750000000000004,False
II_joint,10,0.4987405541561712,0.5359697732997479,0.0283055066731597,0.87,15,0.046875,False
II_joint,5,0.4659949622166247,0.5212468513853904,0.0272125738753031,1.0,16,0.05,False
