method,K,mean_advantage,ci_lo,ci_hi,std,frac_positive,B,robust
MI_perfeat,3,0.058253491178075996,-0.023647397438411648,0.11744157158057104,0.037114253692545444,0.89,100,False
MI_perfeat,5,0.05996404558567711,0.00665518599210615,0.12130450226934497,0.028033204348833725,0.98,100,True
MI_perfeat,10,0.05261934257485778,0.014607635102053587,0.10091712304303824,0.025254867643917274,0.99,100,True
MI_perfeat,16,0.04255411120422373,-0.005642623308598776,0.08644039825473425,0.023182583712185095,0.95,100,False
II_perfeat,3,-0.0001530225323293699,-0.059813455722243204,0.0613586083560628,0.03094996841398397,0.49,100,False
II_perfeat,5,0.00028151379223423145,-0.04523865147200578,0.06679756104857351,0.029904912040875618,0.45,100,False
II_perfeat,10,-0.005692706848591297,-0.05571408001586262,0.051167794613151386,0.029851829466863516,0.42,100,False
II_perfeat,16,-0.011604098563307814,-0.06493062809215086,0.03708478426173627,0.02602581482533139,0.33,100,False
II_joint,3,0.005047558925335815,-0.046945130623110835,0.06859119274710501,0.03185142246374757,0.52,100,False
II_joint,5,0.0031196204332399253,-0.06057101603401539,0.07375065406343273,0.03321589920652771,0.56,100,False
II_joint,10,0.006654235888346805,-0.05314870974517656,0.07050317711291634,0.03099320147873999,0.6,100,False
II_joint,16,0.008002496012563717,-0.04756509088563888,0.05997081894498687,0.026855586372461163,0.64,100,False
DII_L1,3,0.07467758041635078,0.03443343756205665,0.1074842509920635,0.021638322562870193,1.0,15,True
DII_L1,5,0.092187342204831,0.05538380455315741,0.1293672535616949,0.022244699945948205,1.0,15,True
DII_L1,10,0.08794128603136289,0.04067206873603614,0.11905485341274329,0.023933158934947067,1.0,15,True
DII_L1,16,0.09671793056613508,0.06386409628114562,0.12502486064270296,0.018702200525328255,1.0,15,True
