method,K,method_acc,baseline_mean,baseline_std,p_value
MI_perfeat,3,0.5692695214105793,0.5163853904282116,0.03062680979700584,0.06
MI_perfeat,5,0.5617128463476071,0.5212468513853904,0.027212573875303132,0.12
MI_perfeat,10,0.6146095717884131,0.5359697732997479,0.028305506673159692,0.0
MI_perfeat,16,0.5944584382871536,0.5397858942065491,0.027813569051876198,0.04
II_perfeat,3,0.49748110831234255,0.5163853904282116,0.03062680979700584,0.71
II_perfeat,5,0.5667506297229219,0.5212468513853904,0.027212573875303132,0.1
II_perfeat,10,0.5604534005037783,0.5359697732997479,0.028305506673159692,0.21
II_perfeat,16,0.5302267002518891,0.5397858942065491,0.027813569051876198,0.6
II_joint,3,0.5264483627204031,0.5163853904282116,0.03062680979700584,0.36
II_joint,5,0.4659949622166247,0.5212468513853904,0.027212573875303132,1.0
II_joint,10,0.4987405541561713,0.5359697732997479,0.028305506673159692,0.87
II_joint,16,0.5327455919395466,0.5397858942065491,0.027813569051876198,0.59
DII_L1,3,0.5831234256926953,0.5163853904282116,0.03062680979700584,0.02
DII_L1,5,0.6209068010075567,0.5212468513853904,0.027212573875303132,0.0
DII_L1,10,0.5994962216624685,0.5359697732997479,0.028305506673159692,0.01
DII_L1,16,0.6171284634760705,0.5397858942065491,0.027813569051876198,0.0
