method,K,method_acc,baseline_mean,baseline_std,p_value
LASSO,3,0.6032745591939546,0.5163853904282116,0.030626809797005834,0.01
LASSO,5,0.6259445843828715,0.5212468513853904,0.027212573875303143,0.0
LASSO,10,0.6498740554156172,0.5359697732997479,0.028305506673159703,0.0
LASSO,16,0.5629722921914357,0.5397858942065491,0.0278135690518762,0.22
RF,3,0.619647355163728,0.5163853904282116,0.030626809797005834,0.0
RF,5,0.628463476070529,0.5212468513853904,0.027212573875303143,0.0
RF,10,0.6183879093198993,0.5359697732997479,0.028305506673159703,0.0
RF,16,0.6410579345088161,0.5397858942065491,0.0278135690518762,0.0
MINE,3,0.5050377833753149,0.5163853904282116,0.030626809797005834,0.6
MINE,5,0.5377833753148614,0.5212468513853904,0.027212573875303143,0.24
MINE,10,0.48614609571788414,0.5359697732997479,0.028305506673159703,0.98
MINE,16,0.5062972292191436,0.5397858942065491,0.0278135690518762,0.89
