Feature,MI_perfeat_Rank,II_perfeat_Rank,II_joint_Rank,DII_L1_Rank
RPI,49,77,84,111
W875RX1,98,14,115,95
DPCERA3M086SBEA,53,71,31,113
CMRMTSPLx,8,8,109,118
RETAILx,98,75,79,75
INDPRO,98,39,77,85
IPFPNSS,98,63,51,73
IPFINAL,2,13,35,108
IPCONGD,98,99,22,82
IPDCONGD,98,95,96,42
IPNCONGD,98,10,53,92
IPBUSEQ,22,4,80,115
IPMAT,98,100,83,96
IPDMAT,26,40,34,116
IPNMAT,98,43,117,50
IPMANSICS,98,21,108,37
IPB51222S,47,31,72,13
IPFUELS,29,50,120,60
CUMFNS,73,93,104,34
HWI,72,89,118,17
HWIURATIO,56,68,94,6
CLF16OV,16,29,114,58
CE16OV,42,30,19,67
UNRATE,98,88,14,26
UEMPMEAN,98,111,89,9
UEMPLT5,10,67,44,22
UEMP5TO14,57,83,63,79
UEMP15OV,54,51,32,109
UEMP15T26,98,94,106,64
UEMP27OV,98,82,7,63
CLAIMSx,17,15,23,101
PAYEMS,69,74,29,100
USGOOD,98,97,54,98
CES1021000001,98,55,27,87
USCONS,68,91,6,114
MANEMP,61,6,57,117
DMANEMP,98,109,70,103
NDMANEMP,4,16,12,68
SRVPRD,14,11,28,119
USTPU,71,54,62,91
USWTRADE,98,52,24,107
USTRADE,40,42,59,76
USFIRE,34,9,76,57
USGOVT,98,65,116,70
CES0600000007,64,114,46,45
AWOTMAN,98,120,25,35
AWHMAN,23,115,92,43
HOUST,98,37,50,28
HOUSTNE,98,105,91,66
HOUSTMW,55,25,11,90
HOUSTS,48,92,49,51
HOUSTW,98,86,75,55
PERMIT,11,24,52,33
PERMITNE,98,116,112,86
PERMITMW,98,108,21,24
PERMITS,24,41,103,99
PERMITW,98,98,55,53
AMDMNOx,51,59,105,120
ANDENOx,32,2,1,19
AMDMUOx,98,48,71,94
BUSINVx,98,85,73,30
ISRATIOx,30,106,97,40
M1SL,98,35,48,1
M2SL,98,60,45,7
M2REAL,21,19,102,77
BOGMBASE,58,12,38,41
TOTRESNS,74,80,30,4
NONBORRES,28,64,41,38
BUSLOANS,98,69,95,32
REALLN,98,58,107,12
NONREVSL,98,101,119,72
CONSPI,38,3,85,80
FEDFUNDS,5,38,86,84
CP3Mx,3,107,65,5
TB3MS,25,112,101,62
TB6MS,44,104,20,97
GS1,36,73,90,102
GS5,6,56,67,71
GS10,70,102,61,44
AAA,1,96,42,29
BAA,13,103,36,3
COMPAPFFx,35,118,43,88
TB3SMFFM,59,119,78,52
TB6SMFFM,33,117,47,49
T1YFFM,20,113,58,36
T5YFFM,50,110,40,31
T10YFFM,98,84,18,25
AAAFFM,39,76,10,47
BAAFFM,15,49,13,48
EXSZUSx,98,36,66,14
EXJPUSx,12,27,33,18
EXUSUKx,63,62,74,10
EXCAUSx,9,23,39,16
WPSFD49207,31,44,9,78
WPSFD49502,66,47,16,83
WPSID61,60,72,3,23
WPSID62,19,28,81,27
OILPRICEx,98,1,111,8
PPICMM,75,57,110,15
CPIAUCSL,98,34,100,56
CPIAPPSL,98,53,88,21
CPITRNSL,67,81,82,11
CPIMEDSL,45,20,87,74
CUSR0000SAC,62,45,69,69
CUSR0000SAD,65,17,8,54
CUSR0000SAS,7,70,15,104
CPIULFSL,52,32,56,59
CUSR0000SA0L2,98,90,60,61
CUSR0000SA0L5,98,22,26,106
PCEPI,41,66,98,89
DDURRG3M086SBEA,18,18,64,39
DNDGRG3M086SBEA,98,78,4,46
DSERRG3M086SBEA,27,46,93,20
CES0600000008,98,7,2,110
CES2000000008,98,87,37,81
CES3000000008,98,26,5,93
DTCOLNVHFNM,98,33,113,65
DTCTHFNM,43,61,99,105
INVEST,46,79,68,112
VIXCLSx,37,5,17,2
