method,K,method_acc_old_plain,baseline_mean_old_plain,baseline_std_old_plain,p_value_old_plain,method_acc_new_balanced,baseline_mean_new_balanced,baseline_std_new_balanced,p_value_new_balanced,acc_diff
MI_perfeat,3,0.5692695214105793,0.5163853904282116,0.0306268097970058,0.06,0.5692695214105794,0.5163853904282116,0.030626809797005834,0.06,1.1102230246251565e-16
MI_perfeat,5,0.5617128463476071,0.5212468513853904,0.0272125738753031,0.12,0.5617128463476071,0.5212468513853904,0.027212573875303143,0.12,0.0
MI_perfeat,10,0.6146095717884131,0.5359697732997479,0.0283055066731596,0.0,0.6146095717884131,0.5359697732997479,0.028305506673159703,0.0,0.0
MI_perfeat,16,0.5944584382871536,0.5397858942065491,0.0278135690518761,0.04,0.5944584382871536,0.5397858942065491,0.0278135690518762,0.04,0.0
II_perfeat,3,0.4974811083123425,0.5163853904282116,0.0306268097970058,0.71,0.49748110831234255,0.5163853904282116,0.030626809797005834,0.71,5.551115123125783e-17
II_perfeat,5,0.5667506297229219,0.5212468513853904,0.0272125738753031,0.1,0.5667506297229219,0.5212468513853904,0.027212573875303143,0.1,0.0
II_perfeat,10,0.5604534005037783,0.5359697732997479,0.0283055066731596,0.21,0.5604534005037783,0.5359697732997479,0.028305506673159703,0.21,0.0
II_perfeat,16,0.5302267002518891,0.5397858942065491,0.0278135690518761,0.6,0.5302267002518891,0.5397858942065491,0.0278135690518762,0.6,0.0
II_joint,3,0.5264483627204031,0.5163853904282116,0.0306268097970058,0.36,0.5264483627204031,0.5163853904282116,0.030626809797005834,0.36,0.0
II_joint,5,0.4659949622166247,0.5212468513853904,0.0272125738753031,1.0,0.4659949622166247,0.5212468513853904,0.027212573875303143,1.0,0.0
II_joint,10,0.4987405541561713,0.5359697732997479,0.0283055066731596,0.87,0.49874055415617125,0.5359697732997479,0.028305506673159703,0.87,5.551115123125783e-17
II_joint,16,0.5327455919395466,0.5397858942065491,0.0278135690518761,0.59,0.5327455919395465,0.5397858942065491,0.0278135690518762,0.59,1.1102230246251565e-16
DII_L1,3,0.5831234256926953,0.5163853904282116,0.0306268097970058,0.02,0.5831234256926952,0.5163853904282116,0.030626809797005834,0.02,1.1102230246251565e-16
DII_L1,5,0.6209068010075567,0.5212468513853904,0.0272125738753031,0.0,0.6209068010075567,0.5212468513853904,0.027212573875303143,0.0,0.0
DII_L1,10,0.5994962216624685,0.5359697732997479,0.0283055066731596,0.01,0.5994962216624685,0.5359697732997479,0.028305506673159703,0.01,0.0
DII_L1,16,0.6171284634760705,0.5397858942065491,0.0278135690518761,0.0,0.6171284634760705,0.5397858942065491,0.0278135690518762,0.0,0.0
