feature,MI_rank,II_rank,DII_L1_rank,RF_rank,LASSO_rank
r_GC=F,22,27,13,17,15
r_HD,22,22,2,17,15
r_CL=F,22,4,4,3,15
r_DAL,22,10,27,17,15
r_EURUSD=X,22,17,26,17,15
r_SIEGY,22,25,22,17,15
r_GS,22,23,23,17,15
r_CRM,13,12,16,17,15
r_KO,4,1,9,17,15
r_JNJ,9,9,21,17,15
r_NEE,1,18,10,17,15
r_VZ,12,6,15,17,15
r_PG,10,7,24,17,15
r_AAPL,22,8,5,6,15
r_MSFT,3,5,14,5,15
r_AMZN,7,16,20,17,15
r_GOOGL,6,3,17,17,15
r_META,5,11,28,17,15
r_NVDA,22,2,3,17,15
r_XOM,2,13,19,1,1
r_JPM,16,21,1,17,15
r_WMT,22,24,7,17,15
r_DIS,14,19,25,3,15
r_PEP,22,20,6,17,15
r_UNH,11,14,11,17,15
r_MA,8,15,18,17,15
r_V,22,28,8,17,15
r_T,15,26,12,2,15
