method,K,method_acc,baseline_mean,baseline_std,p_value
MI_perfeat,3,0.5129411764705882,0.5262235294117648,0.0375333005545613,0.71
MI_perfeat,5,0.53,0.5274588235294118,0.04674871202637103,0.525
MI_perfeat,10,0.5276470588235294,0.5373794117647059,0.029619256192049158,0.66
MI_perfeat,16,0.5605882352941176,0.5485117647058824,0.022089148567318428,0.275
II_perfeat,3,0.5511764705882353,0.5262235294117648,0.0375333005545613,0.14
II_perfeat,5,0.4852941176470588,0.5274588235294118,0.04674871202637103,0.905
II_perfeat,10,0.5358823529411765,0.5373794117647059,0.029619256192049158,0.545
II_perfeat,16,0.6,0.5485117647058824,0.022089148567318428,0.015
II_joint,3,0.5358823529411765,0.5262235294117648,0.0375333005545613,0.57
II_joint,5,0.5588235294117647,0.5274588235294118,0.04674871202637103,0.135
II_joint,10,0.5447058823529412,0.5373794117647059,0.029619256192049158,0.395
II_joint,16,0.5470588235294118,0.5485117647058824,0.022089148567318428,0.505
DII_L1,3,0.55,0.5262235294117648,0.0375333005545613,0.19
DII_L1,5,0.5370588235294118,0.5274588235294118,0.04674871202637103,0.435
DII_L1,10,0.5470588235294118,0.5373794117647059,0.029619256192049158,0.36
DII_L1,16,0.5211764705882352,0.5485117647058824,0.022089148567318428,0.91
