method,K,method_acc,baseline_mean,baseline_std,p_value,complication,prevalence
FIBR_PREDS_MI_perfeat,3,0.4316993464052288,0.500483660130719,0.023184356251858846,0.99,FIBR_PREDS,0.1
FIBR_PREDS_MI_perfeat,5,0.519281045751634,0.5034150326797386,0.011774993232816585,0.11,FIBR_PREDS,0.1
FIBR_PREDS_MI_perfeat,10,0.526797385620915,0.5068464052287581,0.012735992641529041,0.08,FIBR_PREDS,0.1
FIBR_PREDS_MI_perfeat,16,0.5166666666666666,0.5094509803921567,0.011240754622521817,0.25,FIBR_PREDS,0.1
FIBR_PREDS_II_perfeat,3,0.5,0.500483660130719,0.023184356251858846,0.66,FIBR_PREDS,0.1
FIBR_PREDS_II_perfeat,5,0.5,0.5034150326797386,0.011774993232816585,0.58,FIBR_PREDS,0.1
FIBR_PREDS_II_perfeat,10,0.5,0.5068464052287581,0.012735992641529041,0.65,FIBR_PREDS,0.1
FIBR_PREDS_II_perfeat,16,0.5,0.5094509803921567,0.011240754622521817,0.77,FIBR_PREDS,0.1
FIBR_PREDS_II_joint,3,0.4973856209150327,0.500483660130719,0.023184356251858846,0.92,FIBR_PREDS,0.1
FIBR_PREDS_II_joint,5,0.503921568627451,0.5034150326797386,0.011774993232816585,0.3,FIBR_PREDS,0.1
FIBR_PREDS_II_joint,10,0.5088235294117647,0.5068464052287581,0.012735992641529041,0.33,FIBR_PREDS,0.1
FIBR_PREDS_II_joint,16,0.5101307189542484,0.5094509803921567,0.011240754622521817,0.43,FIBR_PREDS,0.1
FIBR_PREDS_DII_L1,3,0.5140522875816994,0.500483660130719,0.023184356251858846,0.1,FIBR_PREDS,0.1
FIBR_PREDS_DII_L1,5,0.5140522875816994,0.5034150326797386,0.011774993232816585,0.15,FIBR_PREDS,0.1
FIBR_PREDS_DII_L1,10,0.49869281045751634,0.5068464052287581,0.012735992641529041,0.73,FIBR_PREDS,0.1
FIBR_PREDS_DII_L1,16,0.4954248366013072,0.5094509803921567,0.011240754622521817,0.95,FIBR_PREDS,0.1
PREDS_TAH_MI_perfeat,3,0.5,0.4999880952380953,0.0001184508853698353,0.99,PREDS_TAH,0.011764705882352941
PREDS_TAH_MI_perfeat,5,0.5,0.49996726190476193,0.0001829570582059956,0.96,PREDS_TAH,0.011764705882352941
PREDS_TAH_MI_perfeat,10,0.5,0.4999523809523809,0.000196157822062905,0.93,PREDS_TAH,0.011764705882352941
PREDS_TAH_MI_perfeat,16,0.5,0.4999285714285715,0.00022319444356253104,0.88,PREDS_TAH,0.011764705882352941
PREDS_TAH_II_perfeat,3,0.5,0.4999880952380953,0.0001184508853698353,0.99,PREDS_TAH,0.011764705882352941
PREDS_TAH_II_perfeat,5,0.5,0.49996726190476193,0.0001829570582059956,0.96,PREDS_TAH,0.011764705882352941
