method,K,method_acc,baseline_mean,baseline_std,p_value
MI_perfeat,3,0.56,0.5487529411764706,0.016228319047281076,0.2
MI_perfeat,5,0.5517647058823529,0.5468941176470588,0.016523461353073247,0.36
MI_perfeat,10,0.5435294117647059,0.5498352941176471,0.02501267222082233,0.64
MI_perfeat,16,0.5747058823529412,0.5563294117647059,0.02297631095393478,0.2
II_perfeat,3,0.55,0.5487647058823529,0.01620553538648537,0.36
II_perfeat,5,0.55,0.5468941176470588,0.016523461353073247,0.4
II_perfeat,10,0.55,0.5498352941176471,0.02501267222082233,0.5
II_perfeat,16,0.5570588235294117,0.5563411764705882,0.022967493201144898,0.52
II_joint,3,0.5494117647058824,0.5487647058823529,0.01620553538648537,0.4
II_joint,5,0.55,0.5468941176470588,0.016523461353073247,0.4
II_joint,10,0.5523529411764706,0.5498352941176471,0.02501267222082233,0.44
II_joint,16,0.5705882352941176,0.5563411764705882,0.022967493201144898,0.24
DII_L1,3,0.55,0.5487529411764706,0.016228319047281076,0.36
DII_L1,5,0.55,0.5468941176470588,0.016523461353073247,0.4
DII_L1,10,0.5470588235294118,0.5498352941176471,0.02501267222082233,0.58
DII_L1,16,0.5794117647058823,0.5563294117647059,0.02297631095393478,0.16
