method,K,method_acc_old_plain,baseline_mean_old_plain,baseline_std_old_plain,p_value_old_plain,method_acc_new_balanced,baseline_mean_new_balanced,baseline_std_new_balanced,p_value_new_balanced,acc_diff
MI_perfeat,3,0.56,0.5487529411764706,0.016228319047281,0.2,0.5412953060011884,0.5149625668449197,0.02223925837428521,0.16,0.018704693998811694
MI_perfeat,5,0.5517647058823529,0.5468941176470588,0.0165234613530732,0.36,0.5151515151515152,0.5221913250148544,0.02446789189866429,0.52,0.036613190730837686
MI_perfeat,10,0.5435294117647059,0.5498352941176471,0.0250126722208223,0.64,0.5359477124183006,0.5391075460487226,0.02872490794089918,0.6,0.007581699346405291
MI_perfeat,16,0.5747058823529412,0.5563294117647059,0.0229763109539347,0.2,0.569281045751634,0.5492275698158051,0.02384795287813651,0.18,0.005424836601307215
II_perfeat,3,0.55,0.5487647058823529,0.0162055353864853,0.36,0.5,0.5149625668449197,0.02223925837428521,0.6,0.050000000000000044
II_perfeat,5,0.55,0.5468941176470588,0.0165234613530732,0.4,0.5,0.5221913250148544,0.02446789189866429,0.8,0.050000000000000044
II_perfeat,10,0.55,0.5498352941176471,0.0250126722208223,0.5,0.5,0.5390944741532977,0.02872219225338283,0.94,0.050000000000000044
II_perfeat,16,0.5570588235294117,0.5563411764705882,0.0229674932011448,0.52,0.5875816993464053,0.5492275698158051,0.02384267612947623,0.08,0.030522875816993533
II_joint,3,0.5494117647058824,0.5487647058823529,0.0162055353864853,0.4,0.5395127748068924,0.5149625668449197,0.02223925837428521,0.16,0.009898989898989963
II_joint,5,0.55,0.5468941176470588,0.0165234613530732,0.4,0.5412358882947118,0.5221913250148544,0.02446789189866429,0.26,0.008764111705288236
II_joint,10,0.5523529411764706,0.5498352941176471,0.0250126722208223,0.44,0.5444444444444444,0.5390837789661319,0.02871556212235853,0.42,0.007908496732026205
II_joint,16,0.5705882352941176,0.5563411764705882,0.0229674932011448,0.24,0.5623291740938801,0.5492275698158051,0.02384267612947623,0.24,0.00825906120023756
DII_L1,3,0.55,0.5487529411764706,0.016228319047281,0.36,0.5,0.5149494949494949,0.02224883304746516,0.6,0.050000000000000044
DII_L1,5,0.55,0.5468941176470588,0.0165234613530732,0.4,0.5,0.5221913250148544,0.02446789189866429,0.8,0.050000000000000044
DII_L1,10,0.5470588235294118,0.5498352941176471,0.0250126722208223,0.58,0.4974450386215092,0.5391075460487226,0.02872490794089918,0.96,0.049613784907902636
DII_L1,16,0.5794117647058823,0.5563294117647059,0.0229763109539347,0.16,0.5527629233511586,0.5492382650029709,0.023839981605755022,0.48,0.026648841354723674
