method,K,mean_advantage,ci_lo,ci_hi,std,frac_positive,B,robust
MI_perfeat,3,0.009628156095460538,-0.030577677173876005,0.054998907507105343,0.02397143733399688,0.58,100,False
MI_perfeat,5,0.025386051654059348,-0.029803343451992162,0.06804267753679143,0.025749919595925114,0.86,100,False
MI_perfeat,10,0.027702868945644034,-0.028070118396373224,0.07741212868347724,0.027626450086510285,0.79,100,False
MI_perfeat,16,0.028780785484109693,-0.02177707198067976,0.06545252631811838,0.021895938208901698,0.92,100,False
II_perfeat,3,0.013981531398387124,-0.02698298538818026,0.08003002678494557,0.029560013071868663,0.64,100,False
II_perfeat,5,0.018698826236213065,-0.032275735011842915,0.11411966792245719,0.04326453510145933,0.61,100,False
II_perfeat,10,0.012226078941213222,-0.050564628680087126,0.1156659278376543,0.052501049574451876,0.37,100,False
II_perfeat,16,-0.00026062667705899765,-0.061173181421381624,0.10751106417973125,0.053567988271596576,0.37,100,False
II_joint,3,0.010834570357821555,-0.029112895433468153,0.049107561074278036,0.022027586545588174,0.64,100,False
II_joint,5,0.010321903364846454,-0.02538010861816964,0.05290508940267993,0.022095639599785957,0.63,100,False
II_joint,10,0.021443608467280918,-0.023402004253044353,0.06444012071513935,0.022403544602074162,0.83,100,False
II_joint,16,0.017176809505129516,-0.024369167948131328,0.05395887195672451,0.02087523305528279,0.79,100,False
DII_L1,3,-0.010869241475023338,-0.020407823557258776,-0.0019361977523455966,0.005268885495573472,0.0,15,True
DII_L1,5,-0.008488266619980573,-0.01893497802239865,0.029969357891455245,0.014868459807212148,0.13333333333333333,15,False
DII_L1,10,-0.009568378815150365,-0.03689141994841787,0.058564628337622424,0.02867458727196095,0.26666666666666666,15,False
DII_L1,16,0.023722843117121792,-0.023957446415927793,0.07175206040930583,0.032594574156141636,0.6666666666666666,15,False
