complication,method,K,mean_advantage,ci_lo,ci_hi,std,frac_positive,B
ZSN,MI_perfeat,3,0.0982415774756928,0.0421544616856799,0.1176563362734457,0.0198248897294473,0.99,100
ZSN,MI_perfeat,5,0.0930164532754262,0.0672395264943912,0.1146904833170366,0.0148022432536032,1.0,100
ZSN,DII_L1,16,0.0900880901419902,0.072868913856153,0.114670445573503,0.0135580126990516,1.0,15
ZSN,LASSO,10,0.0897201259153318,0.0558430501290795,0.1105271489058845,0.0173663096320329,1.0,15
OTEK_LANC,II_joint,16,0.0292062911178164,-0.0087174826414986,0.070262056227573,0.0215409472762574,0.93,100
A_V_BLOK,RF,3,0.009626633864271,-0.0040131156382727,0.047578713691761,0.0176510333007505,0.4,15
A_V_BLOK,LASSO,5,0.0082203836621338,-0.0054842691541416,0.0434023371582436,0.0166327223161165,0.4,15
FIBR_JELUD,RF,10,0.0073471553385382,-0.0030913176804218,0.0310544731868253,0.0107901374510314,0.6,15
FIBR_JELUD,MI_perfeat,10,0.0038089698998256,-0.0048076945608941,0.0359386503067484,0.0102623032350389,0.38,100
FIBR_JELUD,II_joint,10,0.0010042573356344,-0.0037117914807669,0.0203970661450068,0.0062781414250966,0.19,100
RAZRIV,RF,3,0.0007336034582864,-0.0028570597777317,0.0173950515063112,0.0062675063042653,0.2,15
JELUD_TAH,II_perfeat,16,-0.0001801043467062,-0.0014817110611384,0.0002235119098437,0.0004256347258058,0.47,100
