complication,method,K,method_acc,baseline_mean,p_value
FIBR_PREDS,MI_perfeat,3,0.4316993464052288,0.500483660130719,0.99
FIBR_PREDS,MI_perfeat,5,0.519281045751634,0.5034150326797386,0.11
FIBR_PREDS,MI_perfeat,10,0.526797385620915,0.5068464052287581,0.08
FIBR_PREDS,MI_perfeat,16,0.5166666666666666,0.5094509803921567,0.25
FIBR_PREDS,II_perfeat,3,0.5,0.500483660130719,0.66
FIBR_PREDS,II_perfeat,5,0.5,0.5034150326797386,0.58
FIBR_PREDS,II_perfeat,10,0.5,0.5068464052287581,0.65
FIBR_PREDS,II_perfeat,16,0.5,0.5094509803921567,0.77
FIBR_PREDS,II_joint,3,0.4973856209150327,0.500483660130719,0.92
FIBR_PREDS,II_joint,5,0.503921568627451,0.5034150326797386,0.3
FIBR_PREDS,II_joint,10,0.5088235294117647,0.5068464052287581,0.33
FIBR_PREDS,II_joint,16,0.5101307189542484,0.5094509803921567,0.43
FIBR_PREDS,DII_L1,3,0.5140522875816994,0.500483660130719,0.1
FIBR_PREDS,DII_L1,5,0.5140522875816994,0.5034150326797386,0.15
FIBR_PREDS,DII_L1,10,0.4986928104575163,0.5068464052287581,0.73
FIBR_PREDS,DII_L1,16,0.4954248366013072,0.5094509803921567,0.95
PREDS_TAH,MI_perfeat,3,0.5,0.4999880952380953,0.99
PREDS_TAH,MI_perfeat,5,0.5,0.4999672619047619,0.96
PREDS_TAH,MI_perfeat,10,0.5,0.4999523809523809,0.93
PREDS_TAH,MI_perfeat,16,0.5,0.4999285714285715,0.88
PREDS_TAH,II_perfeat,3,0.5,0.4999880952380953,0.99
PREDS_TAH,II_perfeat,5,0.5,0.4999672619047619,0.96
PREDS_TAH,II_perfeat,10,0.5,0.4999523809523809,0.93
PREDS_TAH,II_perfeat,16,0.5,0.4999285714285715,0.88
PREDS_TAH,II_joint,3,0.5,0.4999880952380953,0.99
PREDS_TAH,II_joint,5,0.5,0.4999672619047619,0.96
PREDS_TAH,II_joint,10,0.5,0.4999523809523809,0.93
PREDS_TAH,II_joint,16,0.5,0.4999285714285715,0.88
PREDS_TAH,DII_L1,3,0.5,0.4999880952380953,0.99
PREDS_TAH,DII_L1,5,0.5,0.4999672619047619,0.96
PREDS_TAH,DII_L1,10,0.5,0.4999523809523809,0.93
PREDS_TAH,DII_L1,16,0.5,0.4999285714285715,0.88
JELUD_TAH,MI_perfeat,3,0.5,0.5004793497616176,0.94
JELUD_TAH,MI_perfeat,5,0.4996984318455971,0.4995207938422655,0.92
JELUD_TAH,MI_perfeat,10,0.4996984318455971,0.4999155609167672,0.91
JELUD_TAH,MI_perfeat,16,0.4996984318455971,0.5000631857085416,0.88
JELUD_TAH,II_perfeat,3,0.5,0.5004793497616176,0.94
JELUD_TAH,II_perfeat,5,0.5,0.4995207938422655,0.88
JELUD_TAH,II_perfeat,10,0.5,0.4999155609167672,0.87
JELUD_TAH,II_perfeat,16,0.6243753231087368,0.5000631857085416,0.0
JELUD_TAH,II_joint,3,0.5,0.5004793497616176,0.94
JELUD_TAH,II_joint,5,0.5,0.4995207938422655,0.88
JELUD_TAH,II_joint,10,0.5,0.4999155609167672,0.87
JELUD_TAH,II_joint,16,0.4987937273823884,0.5000631857085416,0.99
JELUD_TAH,DII_L1,3,0.5,0.5004793497616176,0.94
JELUD_TAH,DII_L1,5,0.5,0.4995207938422655,0.88
JELUD_TAH,DII_L1,10,0.5,0.4999155609167672,0.87
JELUD_TAH,DII_L1,16,0.4996984318455971,0.5000631857085416,0.88
FIBR_JELUD,MI_perfeat,3,0.5323450833916945,0.4988964542318367,0.01
FIBR_JELUD,MI_perfeat,5,0.543157039227384,0.4998245705046731,0.01
FIBR_JELUD,MI_perfeat,10,0.5116290128740522,0.4996277418964369,0.0
FIBR_JELUD,MI_perfeat,16,0.5039728858108751,0.5010361926006623,0.14
FIBR_JELUD,II_perfeat,3,0.5,0.4988964542318367,0.71
FIBR_JELUD,II_perfeat,5,0.5,0.4998245705046731,0.68
FIBR_JELUD,II_perfeat,10,0.5,0.4996277418964369,0.46
FIBR_JELUD,II_perfeat,16,0.5,0.5010361926006623,0.39
FIBR_JELUD,II_joint,3,0.5,0.4988964542318367,0.71
FIBR_JELUD,II_joint,5,0.5061214432080513,0.4998245705046731,0.03
FIBR_JELUD,II_joint,10,0.5205128870213299,0.4996277418964369,0.0
FIBR_JELUD,II_joint,16,0.4990791896869245,0.5010361926006623,0.89
FIBR_JELUD,DII_L1,3,0.5,0.4988964542318367,0.71
FIBR_JELUD,DII_L1,5,0.5,0.4998245705046731,0.68
FIBR_JELUD,DII_L1,10,0.4993861264579496,0.4996277418964369,0.82
FIBR_JELUD,DII_L1,16,0.4993861264579496,0.5010361926006623,0.7
A_V_BLOK,MI_perfeat,3,0.4853391848458639,0.4992201898538189,0.99
A_V_BLOK,MI_perfeat,5,0.5072503230077628,0.4992937074884411,0.04
A_V_BLOK,MI_perfeat,10,0.5078589657344823,0.502565535872548,0.11
A_V_BLOK,MI_perfeat,16,0.4975654290931223,0.5030578424149235,1.0
A_V_BLOK,II_perfeat,3,0.5,0.4992201898538189,0.94
A_V_BLOK,II_perfeat,5,0.5,0.4992937074884411,0.85
A_V_BLOK,II_perfeat,10,0.5,0.502565535872548,0.7
A_V_BLOK,II_perfeat,16,0.5,0.5030578424149235,0.59
A_V_BLOK,II_joint,3,0.5,0.4992201898538189,0.94
A_V_BLOK,II_joint,5,0.5,0.4992937074884411,0.85
A_V_BLOK,II_joint,10,0.5075546443711225,0.502565535872548,0.12
A_V_BLOK,II_joint,16,0.4984783931832015,0.5030578424149235,0.98
A_V_BLOK,DII_L1,3,0.5,0.4992201898538189,0.94
A_V_BLOK,DII_L1,5,0.5,0.4992937074884411,0.85
A_V_BLOK,DII_L1,10,0.5,0.502565535872548,0.7
A_V_BLOK,DII_L1,16,0.4987827145465611,0.5030578424149235,0.98
OTEK_LANC,MI_perfeat,3,0.5653133022337044,0.4976144299013545,0.01
OTEK_LANC,MI_perfeat,5,0.5556548675816978,0.5024727266048756,0.01
OTEK_LANC,MI_perfeat,10,0.5615197188789441,0.5075828201078283,0.02
OTEK_LANC,MI_perfeat,16,0.5387337308535257,0.5109006852529805,0.08
OTEK_LANC,II_perfeat,3,0.5,0.4976144299013545,0.55
OTEK_LANC,II_perfeat,5,0.4968553459119497,0.5024727266048756,0.83
OTEK_LANC,II_perfeat,10,0.4968553459119497,0.5075828201078283,0.91
OTEK_LANC,II_perfeat,16,0.4928372901693338,0.5109006852529805,1.0
OTEK_LANC,II_joint,3,0.4999000077545006,0.4976144299013545,0.56
OTEK_LANC,II_joint,5,0.5314710287773602,0.5024727266048756,0.04
OTEK_LANC,II_joint,10,0.5606463172243785,0.5075828201078283,0.02
OTEK_LANC,II_joint,16,0.5859035421742804,0.5109006852529805,0.0
OTEK_LANC,DII_L1,3,0.512105183679633,0.4976144299013545,0.04
OTEK_LANC,DII_L1,5,0.5,0.5024727266048756,0.57
OTEK_LANC,DII_L1,10,0.5010978740424212,0.5075828201078283,0.6
OTEK_LANC,DII_L1,16,0.5046669850093258,0.5109006852529805,0.55
