method,K,method_acc,baseline_mean,baseline_std,p_value
MI_perfeat,3,0.5310754604872252,0.5067682709447415,0.03020926926832549,0.145
MI_perfeat,5,0.5232917409387997,0.5179185977421271,0.04634136460761172,0.36
MI_perfeat,10,0.5144979203802733,0.53125935828877,0.030802792692606534,0.755
MI_perfeat,16,0.5538324420677362,0.5424266191325015,0.0226919199212118,0.3
II_perfeat,3,0.5013071895424837,0.5067682709447415,0.03020926926832549,0.51
II_perfeat,5,0.5049910873440285,0.5179185977421271,0.04634136460761172,0.655
II_perfeat,10,0.5704693998811645,0.53125935828877,0.030802792692606534,0.055
II_perfeat,16,0.5655377302436126,0.5424266191325015,0.0226919199212118,0.165
II_joint,3,0.5298276886512181,0.5067682709447415,0.03020926926832549,0.155
II_joint,5,0.5497326203208556,0.5179185977421271,0.04634136460761172,0.145
II_joint,10,0.5390374331550802,0.53125935828877,0.030802792692606534,0.375
II_joint,16,0.542721330956625,0.5424266191325015,0.0226919199212118,0.465
DII_L1,3,0.5,0.5067682709447415,0.03020926926832549,0.59
DII_L1,5,0.4889483065953654,0.5179185977421271,0.04634136460761172,0.88
DII_L1,10,0.4978015448603684,0.53125935828877,0.030802792692606534,0.89
DII_L1,16,0.558288770053476,0.5424266191325015,0.0226919199212118,0.22
