method,K,method_acc,baseline_mean,baseline_std,p_value,complication,method_clean
FIBR_PREDS_LASSO,3,0.5303921568627451,0.500483660130719,0.023184356251858846,0.02,FIBR_PREDS,LASSO
FIBR_PREDS_LASSO,5,0.5133986928104575,0.5034150326797386,0.011774993232816585,0.17,FIBR_PREDS,LASSO
FIBR_PREDS_LASSO,10,0.5052287581699346,0.5068464052287581,0.012735992641529041,0.42,FIBR_PREDS,LASSO
FIBR_PREDS_LASSO,16,0.5212418300653594,0.5094509803921567,0.011240754622521817,0.2,FIBR_PREDS,LASSO
FIBR_PREDS_RF,3,0.5166666666666667,0.500483660130719,0.023184356251858846,0.09,FIBR_PREDS,RF
FIBR_PREDS_RF,5,0.5078431372549019,0.5034150326797386,0.011774993232816585,0.22,FIBR_PREDS,RF
FIBR_PREDS_RF,10,0.5215686274509804,0.5068464052287581,0.012735992641529041,0.16,FIBR_PREDS,RF
FIBR_PREDS_RF,16,0.5356209150326797,0.5094509803921567,0.011240754622521817,0.01,FIBR_PREDS,RF
PREDS_TAH_LASSO,3,0.49970238095238095,0.4999880952380953,0.0001184508853698353,0.99,PREDS_TAH,LASSO
PREDS_TAH_LASSO,5,0.4994047619047619,0.49996726190476193,0.0001829570582059956,0.98,PREDS_TAH,LASSO
PREDS_TAH_LASSO,10,0.4994047619047619,0.4999523809523809,0.000196157822062905,0.98,PREDS_TAH,LASSO
PREDS_TAH_LASSO,16,0.4994047619047619,0.4999285714285715,0.00022319444356253104,0.98,PREDS_TAH,LASSO
PREDS_TAH_RF,3,0.5,0.4999880952380953,0.0001184508853698353,0.99,PREDS_TAH,RF
PREDS_TAH_RF,5,0.5,0.49996726190476193,0.0001829570582059956,0.96,PREDS_TAH,RF
PREDS_TAH_RF,10,0.49970238095238095,0.4999523809523809,0.000196157822062905,0.95,PREDS_TAH,RF
PREDS_TAH_RF,16,0.5,0.4999285714285715,0.00022319444356253104,0.88,PREDS_TAH,RF
JELUD_TAH_LASSO,3,0.5,0.5004793497616176,0.0047130758450064135,0.94,JELUD_TAH,LASSO
JELUD_TAH_LASSO,5,0.5,0.4995207938422655,0.0037290804926390134,0.88,JELUD_TAH,LASSO
JELUD_TAH_LASSO,10,0.5,0.4999155609167672,0.00025259820978735495,0.87,JELUD_TAH,LASSO
JELUD_TAH_LASSO,16,0.5,0.5000631857085416,0.002374010645880691,0.64,JELUD_TAH,LASSO
JELUD_TAH_RF,3,0.4996984318455971,0.5004793497616176,0.0047130758450064135,0.98,JELUD_TAH,RF
JELUD_TAH_RF,5,0.5,0.4995207938422655,0.0037290804926390134,0.88,JELUD_TAH,RF
JELUD_TAH_RF,10,0.4996984318455971,0.4999155609167672,0.00025259820978735495,0.91,JELUD_TAH,RF
JELUD_TAH_RF,16,0.5,0.5000631857085416,0.002374010645880691,0.64,JELUD_TAH,RF
FIBR_JELUD_LASSO,3,0.5314242730786191,0.4988964542318367,0.015723309931828862,0.01,FIBR_JELUD,LASSO
FIBR_JELUD_LASSO,5,0.5042798225819003,0.49982457050467316,0.00829177664668956,0.03,FIBR_JELUD,LASSO
FIBR_JELUD_LASSO,10,0.49877225291589933,0.49962774189643694,0.002256882816423773,0.95,FIBR_JELUD,LASSO
FIBR_JELUD_LASSO,16,0.5128567599581528,0.5010361926006623,0.004900887642291065,0.05,FIBR_JELUD,LASSO
FIBR_JELUD_RF,3,0.49846531614487416,0.4988964542318367,0.015723309931828862,0.93,FIBR_JELUD,RF
FIBR_JELUD_RF,5,0.5183643296241538,0.49982457050467316,0.00829177664668956,0.01,FIBR_JELUD,RF
FIBR_JELUD_RF,10,0.5183643296241538,0.49962774189643694,0.002256882816423773,0.0,FIBR_JELUD,RF
FIBR_JELUD_RF,16,0.498158379373849,0.5010361926006623,0.004900887642291065,0.95,FIBR_JELUD,RF
A_V_BLOK_LASSO,3,0.4990870359099209,0.49922018985381894,0.007545682292138876,0.99,A_V_BLOK,LASSO
A_V_BLOK_LASSO,5,0.5595775805917715,0.4992937074884411,0.013923907803402517,0.0,A_V_BLOK,LASSO
A_V_BLOK_LASSO,10,0.4984783931832015,0.502565535872548,0.008985932071108677,0.98,A_V_BLOK,LASSO
A_V_BLOK_LASSO,16,0.49878271454656115,0.5030578424149235,0.008847871491039007,0.98,A_V_BLOK,LASSO
A_V_BLOK_RF,3,0.508163287097842,0.49922018985381894,0.007545682292138876,0.0,A_V_BLOK,RF
A_V_BLOK_RF,5,0.4990870359099209,0.4992937074884411,0.013923907803402517,0.96,A_V_BLOK,RF
A_V_BLOK_RF,10,0.5154136101056048,0.502565535872548,0.008985932071108677,0.09,A_V_BLOK,RF
A_V_BLOK_RF,16,0.506033037554324,0.5030578424149235,0.008847871491039007,0.19,A_V_BLOK,RF
OTEK_LANC_LASSO,3,0.5653133022337044,0.49761442990135457,0.028113412111415933,0.01,OTEK_LANC,LASSO
OTEK_LANC_LASSO,5,0.5619441757577984,0.5024727266048756,0.012884758244558899,0.01,OTEK_LANC,LASSO
OTEK_LANC_LASSO,10,0.5525102134936475,0.5075828201078283,0.01563350264724661,0.02,OTEK_LANC,LASSO
OTEK_LANC_LASSO,16,0.551312347205727,0.5109006852529805,0.014718057457749414,0.03,OTEK_LANC,LASSO
OTEK_LANC_RF,3,0.5320199657985707,0.49761442990135457,0.028113412111415933,0.01,OTEK_LANC,RF
OTEK_LANC_RF,5,0.5376603447079614,0.5024727266048756,0.012884758244558899,0.04,OTEK_LANC,RF
OTEK_LANC_RF,10,0.5368869352988952,0.5075828201078283,0.01563350264724661,0.07,OTEK_LANC,RF
OTEK_LANC_RF,16,0.5157477583371086,0.5109006852529805,0.014718057457749414,0.26,OTEK_LANC,RF
RAZRIV_LASSO,3,0.5,0.4999269834840916,0.0019679692844007265,0.92,RAZRIV,LASSO
RAZRIV_LASSO,5,0.5,0.49963547995139734,0.0021513889683627925,0.84,RAZRIV,LASSO
RAZRIV_LASSO,10,0.5,0.4999800864047522,0.0013792477258041916,0.57,RAZRIV,LASSO
RAZRIV_LASSO,16,0.4990886998784933,0.5013294856217092,0.006176830101100883,0.97,RAZRIV,LASSO
RAZRIV_RF,3,0.5173034516898429,0.4999269834840916,0.0019679692844007265,0.0,RAZRIV,RF
RAZRIV_RF,5,0.4975698663426488,0.49963547995139734,0.0021513889683627925,0.97,RAZRIV,RF
RAZRIV_RF,10,0.49817739975698666,0.4999800864047522,0.0013792477258041916,1.0,RAZRIV,RF
RAZRIV_RF,16,0.5080441924305837,0.5013294856217092,0.006176830101100883,0.07,RAZRIV,RF
DRESSLER_LASSO,3,0.4996923076923077,0.501028717948718,0.009932436637975089,0.83,DRESSLER,LASSO
DRESSLER_LASSO,5,0.49938461538461537,0.4999938461538461,0.002611452851585726,0.85,DRESSLER,LASSO
DRESSLER_LASSO,10,0.5193846153846153,0.5013128205128204,0.00889204151850766,0.02,DRESSLER,LASSO
DRESSLER_LASSO,16,0.4990769230769231,0.49979897435897436,0.0013989322499114126,0.89,DRESSLER,LASSO
DRESSLER_RF,3,0.49938461538461537,0.501028717948718,0.009932436637975089,0.92,DRESSLER,RF
DRESSLER_RF,5,0.4990769230769231,0.4999938461538461,0.002611452851585726,0.9,DRESSLER,RF
DRESSLER_RF,10,0.4990769230769231,0.5013128205128204,0.00889204151850766,0.9,DRESSLER,RF
DRESSLER_RF,16,0.4990769230769231,0.49979897435897436,0.0013989322499114126,0.89,DRESSLER,RF
ZSN_LASSO,3,0.6085831888744646,0.5116651184303604,0.028455066640855033,0.05,ZSN,LASSO
ZSN_LASSO,5,0.6084413211961972,0.5116550322214536,0.026851265232395668,0.02,ZSN,LASSO
ZSN_LASSO,10,0.6162751377865533,0.5205729899487721,0.02972223581302457,0.0,ZSN,LASSO
ZSN_LASSO,16,0.5868677171352834,0.5238616576363679,0.027317663409312295,0.04,ZSN,LASSO
ZSN_RF,3,0.5988137530025419,0.5116651184303604,0.028455066640855033,0.06,ZSN,RF
ZSN_RF,5,0.6142617827908676,0.5116550322214536,0.026851265232395668,0.01,ZSN,RF
ZSN_RF,10,0.564911264682333,0.5205729899487721,0.02972223581302457,0.13,ZSN,RF
ZSN_RF,16,0.5287544406526691,0.5238616576363679,0.027317663409312295,0.3,ZSN,RF
REC_IM_LASSO,3,0.530048690101584,0.5017218052477563,0.009349875488677977,0.02,REC_IM,LASSO
REC_IM_LASSO,5,0.5211636648586436,0.5015163926062877,0.00841843743136126,0.02,REC_IM,LASSO
REC_IM_LASSO,10,0.5127030964945576,0.5024708287928692,0.006535698465312499,0.1,REC_IM,LASSO
REC_IM_LASSO,16,0.5108563009399272,0.5023030458862374,0.008065347267650834,0.11,REC_IM,LASSO
REC_IM_RF,3,0.5013223464302768,0.5017218052477563,0.009349875488677977,0.19,REC_IM,RF
REC_IM_RF,5,0.5102073716732172,0.5015163926062877,0.00841843743136126,0.06,REC_IM,RF
REC_IM_RF,10,0.523334925046629,0.5024708287928692,0.006535698465312499,0.01,REC_IM,RF
REC_IM_RF,16,0.5155232859492529,0.5023030458862374,0.008065347267650834,0.05,REC_IM,RF
P_IM_STEN_LASSO,3,0.5202615631095013,0.5018803984396767,0.007454122062050733,0.07,P_IM_STEN,LASSO
P_IM_STEN_LASSO,5,0.5065913207021454,0.5042183581777653,0.01404044550102516,0.2,P_IM_STEN,LASSO
P_IM_STEN_LASSO,10,0.49710051546391754,0.5015320249373084,0.008733542019047445,0.87,P_IM_STEN,LASSO
P_IM_STEN_LASSO,16,0.4990247979938702,0.5023538938422959,0.009245132935661962,0.51,P_IM_STEN,LASSO
P_IM_STEN_RF,3,0.507392379492895,0.5018803984396767,0.007454122062050733,0.14,P_IM_STEN,RF
P_IM_STEN_RF,5,0.49629074951239904,0.5042183581777653,0.01404044550102516,0.93,P_IM_STEN,RF
P_IM_STEN_RF,10,0.49629074951239904,0.5015320249373084,0.008733542019047445,0.9,P_IM_STEN,RF
P_IM_STEN_RF,16,0.49355670103092786,0.5023538938422959,0.009245132935661962,0.96,P_IM_STEN,RF
