Feature_ID,MI_perfeat_Rank,II_perfeat_Rank,II_joint_Rank,DII_L1_Rank
1,12,102,27,31
2,43,71,81,50
3,20,103,66,82
4,85,97,64,59
5,7,93,36,98
6,42,83,87,105
8,9,104,104,107
9,55,56,15,42
10,34,90,13,100
11,30,31,6,63
12,85,41,84,85
13,37,4,37,9
14,85,45,41,96
15,39,50,12,28
16,62,11,83,61
17,85,14,51,1
18,60,20,86,20
19,11,7,44,3
20,85,19,69,97
21,85,38,40,6
22,85,14,51,66
23,5,29,29,43
24,52,10,47,5
25,85,12,65,101
26,27,54,105,60
27,44,44,57,39
28,28,37,39,71
29,85,64,4,48
30,14,63,20,23
31,85,51,77,58
32,85,36,21,70
33,85,35,67,72
36,61,96,3,21
37,51,86,8,73
38,47,58,14,78
39,46,65,60,27
40,29,27,78,19
41,41,24,31,30
42,85,28,61,64
43,85,39,55,45
44,2,85,103,38
45,4,88,49,91
46,54,77,2,56
47,85,69,106,76
48,24,25,42,55
49,31,94,89,57
50,85,16,75,102
51,85,48,76,103
52,26,14,51,2
53,8,101,93,104
54,85,53,92,106
55,17,42,53,84
56,57,22,85,10
57,53,68,1,90
58,16,59,18,44
59,85,106,24,15
60,85,21,30,7
61,85,30,35,89
62,85,9,25,13
63,85,6,46,11
64,85,18,45,16
65,21,46,22,37
66,48,3,38,35
67,85,23,33,93
68,85,26,34,32
69,85,55,28,26
70,15,107,59,69
71,13,17,82,18
72,85,47,91,94
73,85,43,95,17
74,85,60,43,62
75,85,40,73,52
76,1,5,88,29
77,3,61,9,51
78,85,33,62,8
79,85,32,23,22
80,85,34,68,41
81,63,8,26,14
82,56,82,100,86
83,36,98,99,74
84,35,49,32,65
85,58,91,98,34
86,32,89,71,83
87,59,87,97,67
89,85,95,5,49
90,85,100,58,25
91,85,99,94,24
92,6,74,74,99
93,25,66,79,46
94,22,105,70,68
95,23,80,11,12
96,18,73,107,81
97,85,76,48,92
98,38,2,102,40
99,45,78,17,36
100,19,57,54,4
101,85,1,72,53
102,50,79,56,88
103,85,67,10,77
104,85,62,90,87
105,49,84,80,47
106,10,70,63,80
107,85,92,96,33
108,33,81,16,95
109,40,72,7,79
110,85,52,101,54
111,85,75,19,75
