Feature,Group,Informative,GT_Rank,InfoNCE_bs128_Rank,InfoNCE_bs512_Rank
x_lin_1,Linear,1,4,19,18
x_lin_2,Linear,1,6,17,15
x_sym_1,NonlinSym,1,5,13,16
x_sym_2,NonlinSym,1,7,8,6
x_dir_1,Directional,1,2,15,13
x_dir_2,Directional,1,3,10,8
x_wave_1,Cyclical,1,9,3,3
x_wave_2,Cyclical,0,20,6,11
x_mix_1,Interaction,1,8,20,19
x_mix_2,Interaction,0,21,21,14
x_red_1,Redundant,1,13,22,12
x_red_2,Redundant,1,14,14,10
x_red_3,Redundant,1,15,12,9
momentum,Derived,0,22,16,4
rvp,Derived,0,23,5,7
regime,Derived,1,10,7,5
x_syn_1,Synergistic,1,11,1,1
x_syn_2,Synergistic,1,12,2,2
x_base,NearDup,1,1,24,22
x_dup_1,NearDup,1,16,25,25
x_dup_2,NearDup,1,17,26,21
x_dup_3,NearDup,1,18,27,26
x_dup_4,NearDup,1,19,23,24
noise_1,Noise,0,24,18,27
noise_2,Noise,0,25,9,23
noise_3,Noise,0,26,11,20
noise_4,Noise,0,27,4,17
