method,K,method_acc,baseline_mean,baseline_std,p_value,p,tau,syn_rank_1,syn_rank_2,alpha,n_nonzero
LASSO_p27,3,0.7605,0.6515849999999999,0.06816667275876094,0.05,27,0.3879454500839038,22,18,0.0007783801438356583,23
LASSO_p27,5,0.7655000000000001,0.7028800000000001,0.05414060952741482,0.07,27,0.3879454500839038,22,18,0.0007783801438356583,23
LASSO_p27,10,0.7815000000000001,0.755835,0.02689284802693831,0.1,27,0.3879454500839038,22,18,0.0007783801438356583,23
LASSO_p27,16,0.7765,0.7714300000000002,0.019214580401351464,0.34,27,0.3879454500839038,22,18,0.0007783801438356583,23
LASSO_p50,3,0.7605,0.59575,0.07481525579719686,0.0,50,0.4669853748219129,39,21,0.0025488440483977,39
LASSO_p50,5,0.7655000000000001,0.621255,0.07895766254772238,0.03,50,0.4669853748219129,39,21,0.0025488440483977,39
LASSO_p50,10,0.7815000000000001,0.6851100000000001,0.057757059308797924,0.01,50,0.4669853748219129,39,21,0.0025488440483977,39
LASSO_p50,16,0.778,0.7114000000000001,0.04255613939257179,0.01,50,0.4669853748219129,39,21,0.0025488440483977,39
LASSO_p105,3,0.7045,0.55597,0.07067343277356775,0.02,105,0.4139743525812965,69,30,0.010289727412852626,32
LASSO_p105,5,0.7725,0.5727150000000001,0.0769846820802684,0.0,105,0.4139743525812965,69,30,0.010289727412852626,32
LASSO_p105,10,0.7655000000000001,0.612225,0.08148942799529275,0.0,105,0.4139743525812965,69,30,0.010289727412852626,32
LASSO_p105,16,0.7595000000000001,0.635945,0.060163024151051445,0.0,105,0.4139743525812965,69,30,0.010289727412852626,32
