method,K,method_acc,baseline_mean,baseline_std,p_value,p,tau,mi_full_estimate,syn_rank_1,syn_rank_2
MINE_p27,3,0.597,0.6515849999999999,0.06816667275876094,0.78,27,0.19088319088319092,1.0005594491958618,2,1
MINE_p27,5,0.7505,0.7028800000000001,0.05414060952741482,0.26,27,0.19088319088319092,1.0005594491958618,2,1
MINE_p27,10,0.745,0.755835,0.02689284802693831,0.75,27,0.19088319088319092,1.0005594491958618,2,1
MINE_p27,16,0.7265,0.7714300000000002,0.019214580401351464,1.0,27,0.19088319088319092,1.0005594491958618,2,1
MINE_p50,3,0.597,0.59575,0.07481525579719686,0.51,50,0.014662863979419065,1.0666083296140034,1,2
MINE_p50,5,0.6665000000000001,0.621255,0.07895766254772238,0.33,50,0.014662863979419065,1.0666083296140034,1,2
MINE_p50,10,0.625,0.6851100000000001,0.057757059308797924,0.84,50,0.014662863979419065,1.0666083296140034,1,2
MINE_p50,16,0.631,0.7114000000000001,0.04255613939257179,0.93,50,0.014662863979419065,1.0666083296140034,1,2
MINE_p105,3,0.7075,0.55597,0.07067343277356775,0.01,105,0.21541607255767203,1.3269004027048747,53,89
MINE_p105,5,0.6895,0.5727150000000001,0.0769846820802684,0.09,105,0.21541607255767203,1.3269004027048747,53,89
MINE_p105,10,0.7010000000000001,0.612225,0.08148942799529275,0.18,105,0.21541607255767203,1.3269004027048747,53,89
MINE_p105,16,0.74,0.635945,0.060163024151051445,0.03,105,0.21541607255767203,1.3269004027048747,53,89
