method,K,method_acc,baseline_mean,baseline_std,p_value,p,tau,syn_rank_1,syn_rank_2
RF_p27,3,0.7150000000000001,0.6515849999999999,0.06816667275876094,0.19,27,0.3390313390313391,16,14
RF_p27,5,0.7115,0.7028800000000001,0.05414060952741482,0.42,27,0.3390313390313391,16,14
RF_p27,10,0.769,0.755835,0.02689284802693831,0.21,27,0.3390313390313391,16,14
RF_p27,16,0.838,0.7714300000000002,0.019214580401351464,0.0,27,0.3390313390313391,16,14
RF_p50,3,0.7150000000000001,0.59575,0.07481525579719686,0.05,50,0.5113673812822399,18,19
RF_p50,5,0.771,0.621255,0.07895766254772238,0.02,50,0.5113673812822399,18,19
RF_p50,10,0.769,0.6851100000000001,0.057757059308797924,0.01,50,0.5113673812822399,18,19
RF_p50,16,0.77,0.7114000000000001,0.04255613939257179,0.01,50,0.5113673812822399,18,19
RF_p105,3,0.7150000000000001,0.55597,0.07067343277356775,0.01,105,0.4136316222114995,21,46
RF_p105,5,0.7785,0.5727150000000001,0.0769846820802684,0.0,105,0.4136316222114995,21,46
RF_p105,10,0.769,0.612225,0.08148942799529275,0.0,105,0.4136316222114995,21,46
RF_p105,16,0.77,0.635945,0.060163024151051445,0.0,105,0.4136316222114995,21,46
