Feature,Group,Informative,GT_Rank,MI_Rank,II_Rank,JMI_Rank,MI_joint_Rank,II_joint_Rank,DII_L1_Rank,DII_noL1_Rank
x_lin_1,Linear,1,4,3,2,1,6,7,14,17
x_lin_2,Linear,1,6,14,18,25,15,5,19,15
x_sym_1,NonlinSym,1,5,6,6,22,10,12,6,6
x_sym_2,NonlinSym,1,7,18,16,17,17,4,8,8
x_dir_1,Directional,1,2,5,5,23,1,3,3,3
x_dir_2,Directional,1,3,17,15,9,14,15,21,26
x_wave_1,Cyclical,1,9,20,22,15,24,8,10,10
x_wave_2,Cyclical,0,20,19,26,4,26,23,22,23
x_mix_1,Interaction,1,8,8,11,27,13,20,20,14
x_mix_2,Interaction,0,21,4,3,14,9,6,17,18
x_red_1,Redundant,1,13,2,1,13,5,11,16,21
x_red_2,Redundant,1,14,7,10,19,3,9,12,12
x_red_3,Redundant,1,15,1,4,3,2,13,4,4
momentum,Derived,0,22,16,17,26,16,16,11,11
rvp,Derived,0,23,15,20,20,18,22,18,16
regime,Derived,1,10,26,14,10,27,27,27,25
x_syn_1,Synergistic,1,11,26,24,16,20,1,1,1
x_syn_2,Synergistic,1,12,21,23,8,19,2,2,2
x_base,NearDup,1,1,13,12,12,7,17,7,7
x_dup_1,NearDup,1,16,10,13,5,12,18,5,5
x_dup_2,NearDup,1,17,11,8,2,8,19,9,9
x_dup_3,NearDup,1,18,12,7,7,4,10,15,20
x_dup_4,NearDup,1,19,9,9,6,11,14,13,13
noise_1,Noise,0,24,22,19,18,23,25,23,27
noise_2,Noise,0,25,23,21,24,25,24,25,24
noise_3,Noise,0,26,26,25,21,22,21,26,19
noise_4,Noise,0,27,24,27,11,21,26,24,22
