p,method,tau,rho,top3,top5,top10,top16,syn_rank_1,syn_rank_2,runtime_s,final_imbalance,note
27,MI_perfeat,0.2746806413997892,0.3280391571137638,1.0,0.8,0.9,0.8125,26.0,21.0,0.08633112907409668,,
27,II_perfeat,0.2763532763532764,0.38461538461538464,0.6666666666666666,0.8,0.9,0.9375,24.0,23.0,0.20049571990966797,,
27,JMI_greedy,-0.00854700854700855,0.008547008547008548,1.0,0.8,0.9,0.8125,16.0,8.0,23.842482805252075,,
27,MI_joint,0.264957264957265,0.3766788766788767,1.0,1.0,0.9,0.875,20.0,19.0,3.8669979572296143,,
27,II_joint,0.39601139601139607,0.5323565323565322,1.0,1.0,0.9,0.875,1.0,2.0,0.8066151142120361,,
27,DII_L1,0.35042735042735046,0.4487179487179487,1.0,1.0,1.0,0.9375,1.0,2.0,50.28874707221985,0.45107054710388184,
27,DII_noL1,0.2820512820512821,0.39987789987789985,1.0,1.0,1.0,0.875,1.0,2.0,49.03102993965149,0.45108136534690857,
50,MI_perfeat,0.4971996832111851,0.6413459260550624,1.0,0.8,0.9,0.8125,43.0,29.0,0.21609187126159668,,
50,II_perfeat,0.463713073349128,0.6410730083723535,0.6666666666666666,0.8,0.9,0.9375,41.0,33.0,0.41649389266967773,,
50,JMI_greedy,-0.06231717191253103,-0.07959716107106476,1.0,0.8,0.4,0.3125,29.0,12.0,505.71251583099365,,
50,MI_joint,,,0.0,0.0,0.0,0.0,25.0,25.0,11.935516119003296,,DEGENERATE (Kraskov MI estimator collapsed to 0 for every LOO fold)
50,II_joint,0.4453844933748542,0.610649204585191,1.0,1.0,0.8,0.75,2.0,1.0,2.790945053100586,,
50,DII_L1,0.42155733940829815,0.5974082800133693,1.0,1.0,1.0,0.875,1.0,3.0,54.637802839279175,0.4500173032283783,
50,DII_noL1,0.43438734539028984,0.6057975681008593,1.0,1.0,1.0,0.75,1.0,3.0,53.593392848968506,0.4499490559101105,
105,MI_perfeat,0.46437477431148017,0.5628716782744642,1.0,0.8,0.9,0.8125,84.0,47.0,0.3447139263153076,,
105,II_perfeat,0.369947754519196,0.4857266865752035,0.6666666666666666,0.8,0.9,0.9375,88.0,66.0,0.7875819206237793,,
105,JMI_greedy,,,,,,,,,,,"SKIPPED (p > JMI_MAX_P, O(p^2) cost)"
105,MI_joint,,,0.0,0.0,0.0,0.0,53.0,53.0,39.59589099884033,,DEGENERATE (Kraskov MI estimator collapsed to 0 for every LOO fold)
105,II_joint,0.4513089580961113,0.5729419655158494,0.6666666666666666,0.8,0.6,0.625,22.0,70.0,13.90373706817627,,
105,DII_L1,0.4715127469038018,0.6004392391470393,1.0,1.0,1.0,0.8125,1.0,3.0,123.132248878479,0.44867271184921265,
105,DII_noL1,0.42346049244226786,0.5462881665359227,1.0,1.0,1.0,0.8125,1.0,3.0,130.57690906524658,0.44804754853248596,
