method,K,method_acc,baseline_mean,baseline_std,p_value,rank,bh_threshold,bh_significant
DII_L1,3,0.5196000000000001,0.498848,0.0081484290510502,0.01,1,0.003125,False
DII_L1,5,0.5124,0.498032,0.0078457489126277,0.01,2,0.00625,False
DII_L1,16,0.5054000000000001,0.495774,0.0064629191546854,0.07,3,0.009375000000000001,False
DII_L1,10,0.5056,0.495968,0.0073331423005421,0.09,4,0.0125,False
II_joint,10,0.5028,0.495968,0.0073331423005421,0.14,5,0.015625,False
MI_perfeat,5,0.507,0.498032,0.0078457489126277,0.16,6,0.018750000000000003,False
II_joint,16,0.5012,0.495774,0.0064629191546854,0.18,7,0.021875000000000002,False
II_perfeat,3,0.505,0.498848,0.0081484290510502,0.2,8,0.025,False
II_perfeat,5,0.5042,0.498032,0.0078457489126277,0.28,9,0.028125,False
II_joint,5,0.5018,0.498032,0.0078457489126277,0.35,10,0.03125,False
MI_perfeat,10,0.497,0.495968,0.0073331423005421,0.5,11,0.034375,False
MI_perfeat,16,0.4956,0.495774,0.0064629191546854,0.51,12,0.037500000000000006,False
II_perfeat,16,0.4904,0.495774,0.0064629191546854,0.8,13,0.040625,False
MI_perfeat,3,0.488,0.498848,0.0081484290510502,0.93,14,0.043750000000000004,False
II_perfeat,10,0.4826,0.495968,0.0073331423005421,0.98,15,0.046875,False
II_joint,3,0.4806,0.498848,0.0081484290510502,0.99,16,0.05,False
