method,K,mean_advantage,ci_lo,ci_hi,std,frac_positive,B,robust
MI_perfeat,3,0.002615708397517917,-0.017250917219956526,0.024669128114605643,0.010753082744861149,0.6,100,False
MI_perfeat,5,0.0020001039099392447,-0.016737423716428005,0.020565688504310047,0.009819419593150868,0.62,100,False
MI_perfeat,10,-0.00047780266423761873,-0.016238280603153903,0.017834514679636145,0.009046694721110627,0.44,100,False
MI_perfeat,16,0.0006742209727343779,-0.012773379444190608,0.014900805129699003,0.007308612289544127,0.52,100,False
II_perfeat,3,0.0027975109250977354,-0.018917265025481085,0.016951240560415325,0.009433630752956787,0.66,100,False
II_perfeat,5,0.0015341698707938712,-0.01342673780874701,0.016379667521703972,0.00884362822359908,0.61,100,False
II_perfeat,10,-0.0035730131741956474,-0.017910578278215787,0.012608247593952392,0.00813820012545655,0.3,100,False
II_perfeat,16,-0.00407625674396986,-0.018730338480865524,0.011413839992380968,0.008707484034171264,0.34,100,False
II_joint,3,0.0025377562797646506,-0.018071513204175715,0.022303586052148154,0.011401236907599886,0.57,100,False
II_joint,5,0.002309765136877019,-0.012245195740224788,0.020437264105020163,0.008746352540213997,0.6,100,False
II_joint,10,0.0018347112418167283,-0.012796782770850734,0.017928779685267134,0.007784509178281782,0.58,100,False
II_joint,16,0.004205582514827685,-0.009232592590171134,0.01917062756328367,0.0077336589345231715,0.7,100,False
DII_L1,3,0.005125554913497865,-0.015417081981762398,0.02103053469918012,0.010559927568063697,0.7333333333333333,15,False
DII_L1,5,0.012068452199662238,-0.002329282167302085,0.033776492125772044,0.011323387694333907,0.8666666666666667,15,False
DII_L1,10,0.017565212436790344,0.0037292315199213165,0.025917973025688396,0.006878423843090711,1.0,15,True
DII_L1,16,0.015151122241505258,0.0058549100764258375,0.0250747353259375,0.005404411641934616,1.0,15,True
