Feature,MI_Score,MI_Rank,II_pf_Score,II_pf_Rank,II_jt_Imp,II_jt_Rank,DII_L1_Weight,DII_L1_Rank
return_1d,0.0,18,0.99454312,3,-0.00011952000000015062,16,0.12159388,6
return_5d,0.004077678011348951,7,1.01754784,24,-0.00656792000000006,26,0.116476335,7
return_10d,0.0,18,0.9968952,5,0.0033752000000000226,3,1.8358201e-19,15
return_20d,0.0022518207616792907,8,1.00434096,12,-0.0065582400000000485,25,4.2731843e-20,20
sma_ratio_5,0.0,18,1.00762352,16,0.002001600000000048,9,0.038568247,11
sma_ratio_10,0.0,18,1.01879616,26,-0.005330880000000038,22,2.0699066e-20,23
sma_ratio_20,0.0,18,1.01886768,27,-0.00025439999999998797,17,6.3167e-20,18
sma_ratio_50,0.0,18,1.0095285600000001,18,0.0017978400000000505,10,0.1292953,5
sma_ratio_200,0.007543674080725538,4,0.9845056,2,0.003601119999999902,2,1.6444698e-20,24
ema_ratio_12,0.010631123324524872,2,1.00807976,17,0.002598879999999859,4,1.5376695e-20,25
ema_ratio_26,0.0,18,1.00561472,14,0.002153359999999882,6,0.09280303,9
macd_hist,0.0,18,1.01554976,22,-0.002903840000000102,20,0.13029851,4
rsi_14,0.00788809727191353,3,1.00187384,10,-0.00041968000000003336,18,0.20146962,3
bb_position,0.0,18,1.01584464,23,0.0020736799999998556,8,7.633314e-21,27
volatility_10d,0.0,18,1.00343224,11,-0.007864160000000009,27,2.9016772e-20,22
volatility_20d,0.0,18,1.01093848,19,0.004606960000000049,1,0.02818712,12
volatility_60d,0.013025503745946132,1,0.97685792,1,0.00030855999999990225,15,0.056015424,10
volume_sma_ratio_10,0.0,18,0.99571696,4,0.0009268000000000054,13,0.24191213,2
volume_sma_ratio_20,0.0,18,1.01414672,21,0.001032640000000029,12,0.288097,1
daily_range,0.007020458163035315,5,0.9970836000000001,7,0.0008840800000000648,14,0.013659035,14
avg_range_10d,0.0,18,1.00644064,15,-0.0011269600000001212,19,0.014823668,13
high_low_ratio,0.0,18,0.99858488,8,-0.006024479999999999,24,3.7996697e-20,21
momentum_10d,0.0,18,1.01833232,25,0.0012059199999998604,11,7.416185e-20,17
momentum_20d,0.0,18,1.00067528,9,-0.002918799999999999,21,8.58496e-20,16
roc_5,0.004443358902007866,6,0.99707296,6,-0.005891680000000066,23,0.10678671,8
roc_10,0.0,18,1.0109784,20,0.0021113600000000066,7,4.7520502e-20,19
atr_14,0.0,18,1.00550848,13,0.0025937599999998895,5,1.3586532e-20,26
