method,K,method_acc,baseline_mean,baseline_std,p_value
MI_perfeat,3,0.488,0.49884800000000007,0.008148429051050263,0.93
MI_perfeat,5,0.507,0.49803200000000003,0.00784574891262778,0.16
MI_perfeat,10,0.497,0.495968,0.0073331423005421085,0.5
MI_perfeat,16,0.4956,0.49577400000000005,0.006462919154685439,0.51
II_perfeat,3,0.505,0.49884800000000007,0.008148429051050263,0.2
II_perfeat,5,0.5042,0.49803200000000003,0.00784574891262778,0.28
II_perfeat,10,0.48260000000000003,0.495968,0.0073331423005421085,0.98
II_perfeat,16,0.4904,0.49577400000000005,0.006462919154685439,0.8
II_joint,3,0.4806,0.49884800000000007,0.008148429051050263,0.99
II_joint,5,0.5018,0.49803200000000003,0.00784574891262778,0.35
II_joint,10,0.5028,0.495968,0.0073331423005421085,0.14
II_joint,16,0.5012,0.49577400000000005,0.006462919154685439,0.18
DII_L1,3,0.5196000000000001,0.49884800000000007,0.008148429051050263,0.01
DII_L1,5,0.5124,0.49803200000000003,0.00784574891262778,0.01
DII_L1,10,0.5056,0.495968,0.0073331423005421085,0.09
DII_L1,16,0.5054000000000001,0.49577400000000005,0.006462919154685439,0.07
