method,K,method_acc,baseline_mean,baseline_std,p_value
LASSO,3,0.4874,0.49884800000000007,0.008148429051050263,0.95
LASSO,5,0.5012,0.49803200000000003,0.00784574891262778,0.38
LASSO,10,0.48919999999999997,0.495968,0.0073331423005421085,0.8
LASSO,16,0.49760000000000004,0.49577400000000005,0.006462919154685439,0.39
RF,3,0.48960000000000004,0.49884800000000007,0.008148429051050263,0.9
RF,5,0.5078,0.49803200000000003,0.00784574891262778,0.12
RF,10,0.4872,0.495968,0.0073331423005421085,0.84
RF,16,0.4952,0.49577400000000005,0.006462919154685439,0.55
MINE,3,0.4952,0.49884800000000007,0.008148429051050263,0.68
MINE,5,0.488,0.49803200000000003,0.00784574891262778,0.88
MINE,10,0.4856,0.495968,0.0073331423005421085,0.91
MINE,16,0.48960000000000004,0.49577400000000005,0.006462919154685439,0.82
